team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,32,84,11,34,21,30,9,35,20,6,4,6,13
BOSTON CELTICS,240,40,88,23,55,9,9,7,38,27,6,3,9,21
WASHINGTON WIZARDS,240,42,79,7,21,15,19,10,33,24,5,4,19,22
BROOKLYN NETS,240,44,90,9,29,16,22,10,25,24,11,8,7,18
TORONTO RAPTORS,240,37,95,15,46,16,19,9,28,19,13,3,14,26
CLEVELAND CAVALIERS,240,39,77,17,33,21,28,7,47,29,8,4,26,19
NEW ORLEANS PELICANS,240,41,85,8,28,23,30,14,31,26,8,7,16,12
DENVER NUGGETS,240,44,88,12,34,8,10,10,27,30,9,5,15,28
CHICAGO BULLS,240,37,80,14,28,12,14,9,43,26,8,8,18,22
DETROIT PISTONS,240,32,82,4,25,18,25,8,29,20,11,5,14,16
OKLAHOMA CITY THUNDER,240,42,91,13,39,17,25,19,33,22,8,2,16,21
HOUSTON ROCKETS,240,39,79,14,38,20,27,8,30,22,7,4,16,20
INDIANA PACERS,265,38,98,15,45,18,20,13,37,27,8,10,14,22
MIAMI HEAT,265,39,97,9,37,19,23,13,38,27,7,7,14,19
PHILADELPHIA 76ERS,265,38,82,11,25,14,23,8,36,19,12,9,19,18
NEW YORK KNICKS,265,38,88,11,24,13,23,13,31,16,13,2,17,19
LOS ANGELES LAKERS,240,35,85,5,25,19,28,7,34,20,3,2,11,18
PHOENIX SUNS,240,42,87,9,32,18,23,9,42,30,7,6,10,24
DALLAS MAVERICKS,240,48,86,19,37,17,20,8,44,23,4,3,10,17
PORTLAND TRAIL BLAZERS,240,34,89,9,41,15,19,9,24,17,7,3,6,17
