team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
OKLAHOMA CITY THUNDER,240,49,90,15,39,16,17,3,31,24,12,4,10,22
BROOKLYN NETS,240,43,85,10,34,20,24,6,37,23,3,2,17,18
UTAH JAZZ,240,35,82,11,35,15,22,16,47,17,3,5,13,17
DETROIT PISTONS,240,29,87,10,42,18,21,11,28,21,10,7,7,23
TORONTO RAPTORS,240,39,96,13,38,14,22,13,35,20,8,10,10,22
GOLDEN STATE WARRIORS,240,38,93,13,46,17,19,12,39,30,2,10,15,18
LOS ANGELES LAKERS,240,46,91,10,29,18,24,10,39,28,13,8,16,23
HOUSTON ROCKETS,240,37,90,12,41,16,23,13,30,22,7,8,21,22
CHICAGO BULLS,240,47,77,18,33,15,17,3,35,30,6,2,22,19
LOS ANGELES CLIPPERS,240,45,92,20,38,20,25,12,23,28,13,5,10,19
SAN ANTONIO SPURS,240,36,94,8,30,8,14,9,36,21,4,5,10,16
MINNESOTA TIMBERWOLVES,240,34,81,9,26,19,23,9,43,19,6,3,13,17
DENVER NUGGETS,240,45,84,15,35,9,12,8,35,23,11,4,12,25
NEW YORK KNICKS,240,32,74,6,21,19,25,8,28,19,4,1,16,15
