team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,49,96,15,43,10,12,15,28,33,11,4,14,21
CHARLOTTE HORNETS,240,42,85,7,32,19,25,12,34,22,8,1,21,12
BROOKLYN NETS,240,42,87,14,43,15,17,6,23,23,5,8,11,25
CLEVELAND CAVALIERS,240,45,87,8,25,27,32,13,37,24,7,3,12,18
HOUSTON ROCKETS,240,37,95,14,41,15,20,14,37,24,7,11,14,28
DETROIT PISTONS,240,31,82,15,32,25,37,14,41,17,5,8,19,21
ORLANDO MAGIC,265,43,94,17,37,15,24,13,36,29,7,3,14,14
INDIANA PACERS,265,46,93,12,34,16,18,8,36,28,9,5,10,19
OKLAHOMA CITY THUNDER,240,41,87,14,42,10,13,4,25,24,8,1,11,21
LOS ANGELES CLIPPERS,240,43,84,10,33,24,25,9,39,21,8,7,13,19
ATLANTA HAWKS,240,38,83,15,35,25,30,13,42,21,9,12,16,16
MINNESOTA TIMBERWOLVES,240,40,93,8,32,10,12,10,30,30,14,8,13,21
BOSTON CELTICS,240,41,90,12,30,16,20,10,22,23,10,5,11,21
PHILADELPHIA 76ERS,240,45,81,12,28,20,24,10,35,23,9,7,19,23
DENVER NUGGETS,265,53,103,6,26,18,19,10,33,32,12,1,9,15
PHOENIX SUNS,265,47,94,17,44,15,15,9,36,30,7,4,16,23
NEW YORK KNICKS,240,36,94,5,22,17,25,16,41,19,2,6,11,21
SACRAMENTO KINGS,240,38,91,12,34,15,21,12,43,21,6,14,6,25
DALLAS MAVERICKS,240,45,93,14,39,18,20,7,35,23,3,2,5,21
SAN ANTONIO SPURS,240,41,89,12,28,23,30,9,40,21,3,5,7,18
MIAMI HEAT,240,33,77,7,31,8,10,4,28,19,13,4,19,14
TORONTO RAPTORS,240,39,84,17,40,6,9,12,33,22,11,3,21,16
