team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,45,89,12,31,23,27,7,36,34,8,6,9,21
ATLANTA HAWKS,240,43,90,9,31,18,23,7,31,35,5,4,11,24
BROOKLYN NETS,240,50,93,16,39,18,20,8,37,35,9,5,13,15
GOLDEN STATE WARRIORS,240,44,90,9,34,20,25,5,32,25,6,6,13,15
HOUSTON ROCKETS,240,33,88,8,43,25,30,12,34,17,5,5,9,17
NEW YORK KNICKS,240,45,86,12,28,19,23,4,40,21,4,4,7,21
PHILADELPHIA 76ERS,240,38,73,7,17,28,33,8,27,19,7,1,13,15
PHOENIX SUNS,240,48,79,10,25,14,17,4,28,25,8,3,13,24
MIAMI HEAT,240,35,86,12,36,12,17,8,35,24,11,3,17,21
UTAH JAZZ,240,39,85,12,46,22,29,10,38,26,11,7,15,21
