team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
UTAH JAZZ,240,45,92,17,39,13,15,10,36,25,9,10,9,16
CHICAGO BULLS,240,39,96,6,26,11,12,14,35,21,5,3,13,14
SACRAMENTO KINGS,240,49,90,13,30,8,12,10,39,26,6,7,16,17
CLEVELAND CAVALIERS,240,41,96,4,17,19,23,10,29,22,13,4,8,11
TORONTO RAPTORS,240,37,87,10,40,15,19,8,36,19,6,5,13,24
HOUSTON ROCKETS,240,41,90,14,36,21,26,10,37,28,7,7,11,21
ATLANTA HAWKS,240,43,95,12,34,12,16,15,33,21,3,3,7,18
LOS ANGELES CLIPPERS,240,42,85,17,38,18,20,8,36,26,4,7,8,16
BOSTON CELTICS,265,47,90,17,35,15,24,5,38,31,3,6,12,18
MEMPHIS GRIZZLIES,265,55,110,12,35,10,15,17,37,38,8,6,10,20
INDIANA PACERS,240,45,111,12,50,11,12,11,29,27,8,3,6,16
MILWAUKEE BUCKS,240,53,94,24,39,10,15,8,47,35,3,5,15,16
OKLAHOMA CITY THUNDER,240,41,87,21,37,9,10,9,38,27,8,10,14,14
MINNESOTA TIMBERWOLVES,240,38,92,14,39,13,18,11,31,24,11,4,12,17
CHARLOTTE HORNETS,240,34,81,12,32,20,23,7,33,27,5,7,11,14
SAN ANTONIO SPURS,240,36,78,11,32,14,17,5,33,17,5,9,14,22
