team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,45,87,15,31,13,19,5,33,25,6,7,15,17
BROOKLYN NETS,240,44,89,17,40,22,31,10,31,30,8,5,8,16
ATLANTA HAWKS,240,40,89,14,31,17,23,13,28,22,10,4,11,19
CLEVELAND CAVALIERS,240,41,78,15,28,15,19,7,29,28,7,10,15,19
BOSTON CELTICS,240,41,86,12,39,13,18,12,34,19,6,6,13,21
DALLAS MAVERICKS,240,42,89,13,33,13,15,8,30,19,5,1,9,17
PORTLAND TRAIL BLAZERS,240,41,87,14,41,10,10,7,40,21,0,7,9,19
DENVER NUGGETS,240,40,94,14,36,17,18,10,30,25,8,3,1,10
WASHINGTON WIZARDS,240,47,88,11,20,11,16,6,30,32,5,1,13,16
LOS ANGELES CLIPPERS,240,54,94,19,38,8,13,7,39,26,7,5,10,22
MINNESOTA TIMBERWOLVES,240,42,98,19,54,9,9,7,36,35,4,5,14,16
MILWAUKEE BUCKS,240,53,99,20,42,13,18,9,43,33,11,5,8,13
GOLDEN STATE WARRIORS,240,40,89,13,38,21,24,7,34,30,9,8,10,18
NEW YORK KNICKS,240,38,97,11,29,19,22,18,38,22,4,5,13,23
DETROIT PISTONS,240,41,88,10,34,13,16,8,41,24,10,9,15,19
ORLANDO MAGIC,240,33,88,14,38,13,22,10,38,25,9,6,12,16
PHILADELPHIA 76ERS,240,33,80,17,38,26,30,12,42,24,5,8,18,15
TORONTO RAPTORS,240,40,93,11,37,11,13,8,30,29,12,11,10,20
