team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,46,87,10,27,16,20,9,41,22,4,6,12,18
CHICAGO BULLS,240,42,94,12,38,16,22,14,30,25,7,3,10,18
CLEVELAND CAVALIERS,240,36,73,10,30,19,24,6,42,23,7,6,19,18
HOUSTON ROCKETS,240,31,76,10,31,18,24,4,26,13,13,4,14,18
UTAH JAZZ,240,46,101,17,43,15,18,11,28,26,11,7,8,22
NEW ORLEANS PELICANS,240,52,92,7,11,18,23,10,43,27,5,5,13,15
DALLAS MAVERICKS,240,47,90,17,46,19,23,7,39,29,6,6,8,12
ORLANDO MAGIC,240,47,95,20,41,10,14,6,35,25,5,1,8,17
INDIANA PACERS,240,44,91,8,29,18,21,8,26,27,8,1,19,19
PHILADELPHIA 76ERS,240,50,88,15,35,15,16,6,33,27,10,6,19,19
CHARLOTTE HORNETS,240,43,88,15,34,10,17,11,26,25,12,5,16,16
PORTLAND TRAIL BLAZERS,240,46,86,24,46,7,10,8,30,26,12,7,15,15
BROOKLYN NETS,265,47,100,17,41,13,17,13,38,35,6,8,5,13
SAN ANTONIO SPURS,265,44,97,15,35,10,15,9,39,30,2,3,9,16
