team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,43,100,20,44,12,14,18,41,21,8,5,11,15
BROOKLYN NETS,240,30,90,7,42,12,17,13,29,15,6,4,13,17
BOSTON CELTICS,240,40,86,11,30,21,26,13,36,16,10,7,11,20
CLEVELAND CAVALIERS,240,39,89,13,38,15,20,17,33,24,6,2,12,19
NEW ORLEANS PELICANS,265,50,114,17,46,6,11,15,37,28,8,4,14,23
DALLAS MAVERICKS,265,44,95,22,50,17,24,6,43,30,6,13,16,17
OKLAHOMA CITY THUNDER,240,46,75,10,24,12,17,2,31,25,13,8,14,18
DETROIT PISTONS,240,40,86,18,43,9,15,9,27,27,8,5,17,21
ORLANDO MAGIC,240,44,84,13,30,12,14,5,30,28,6,5,12,17
MIAMI HEAT,240,41,79,22,44,12,15,6,30,31,8,5,12,17
INDIANA PACERS,240,42,97,7,27,9,11,7,32,22,12,2,15,18
MILWAUKEE BUCKS,240,43,94,13,46,20,22,11,45,26,8,4,16,14
CHICAGO BULLS,240,45,94,11,30,7,11,9,31,24,10,5,10,19
MINNESOTA TIMBERWOLVES,240,40,81,19,43,16,25,10,33,27,5,4,17,15
UTAH JAZZ,240,41,81,10,36,20,25,6,31,26,5,5,11,20
NEW YORK KNICKS,240,41,85,7,20,15,18,11,31,23,3,1,13,18
WASHINGTON WIZARDS,240,40,103,11,35,13,21,18,30,27,8,4,10,29
PORTLAND TRAIL BLAZERS,240,42,81,13,31,28,32,7,40,24,7,11,15,24
