team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,290,52,110,13,34,18,25,15,41,30,12,6,17,29
ATLANTA HAWKS,290,49,108,14,40,28,31,11,39,29,9,8,14,24
LOS ANGELES CLIPPERS,240,53,93,12,36,15,20,10,42,28,11,6,11,21
CLEVELAND CAVALIERS,240,35,95,7,33,15,22,16,29,22,9,1,16,17
UTAH JAZZ,240,42,86,15,38,15,18,10,38,25,2,4,15,14
HOUSTON ROCKETS,240,44,95,15,42,10,14,7,29,20,10,5,6,19
BOSTON CELTICS,240,38,84,16,36,20,27,14,39,19,6,2,9,24
OKLAHOMA CITY THUNDER,240,39,86,11,27,22,29,12,32,14,3,3,10,21
CHICAGO BULLS,240,43,88,12,32,13,17,14,28,23,8,3,18,24
PHILADELPHIA 76ERS,240,42,84,11,27,23,32,15,29,29,12,6,16,18
MIAMI HEAT,240,39,98,20,49,11,14,13,36,31,6,5,13,22
PORTLAND TRAIL BLAZERS,240,40,85,19,42,16,22,5,38,20,9,6,14,22
MEMPHIS GRIZZLIES,240,43,102,5,32,15,25,13,49,19,4,4,13,23
WASHINGTON WIZARDS,240,35,100,7,33,22,29,9,41,25,7,4,7,22
