team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,37,95,8,30,16,20,15,34,19,10,3,17,24
GOLDEN STATE WARRIORS,240,46,88,17,37,20,21,5,34,34,9,10,14,23
CHICAGO BULLS,265,44,102,13,33,19,22,13,47,25,6,2,18,24
INDIANA PACERS,265,39,92,9,33,25,31,8,39,18,9,14,19,23
MIAMI HEAT,240,46,91,8,36,18,22,9,30,27,7,6,8,21
LOS ANGELES CLIPPERS,240,47,85,15,32,16,20,7,32,31,5,0,12,22
ATLANTA HAWKS,240,36,85,11,33,29,32,11,31,17,5,6,11,19
NEW YORK KNICKS,240,42,83,17,34,22,27,10,32,22,5,6,8,22
BROOKLYN NETS,240,51,89,27,47,7,12,9,26,31,7,4,15,16
SACRAMENTO KINGS,240,51,96,12,33,11,13,15,26,24,6,6,13,13
PHILADELPHIA 76ERS,240,47,94,8,23,21,24,12,30,19,6,4,12,21
UTAH JAZZ,240,45,86,18,45,26,31,7,29,18,9,4,11,18
HOUSTON ROCKETS,240,43,91,8,37,25,34,9,32,23,9,5,18,22
WASHINGTON WIZARDS,240,48,92,12,30,23,31,10,37,25,14,2,15,24
