team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,45,96,11,33,18,24,14,31,23,11,5,15,21
HOUSTON ROCKETS,240,45,86,13,36,19,25,10,35,26,10,6,18,14
CLEVELAND CAVALIERS,240,37,82,12,23,13,24,11,32,22,5,6,18,22
INDIANA PACERS,240,42,87,16,35,19,24,9,35,28,12,1,14,22
NEW ORLEANS PELICANS,240,44,91,13,36,12,19,14,44,23,9,4,13,16
OKLAHOMA CITY THUNDER,240,30,80,15,48,5,15,7,33,24,6,3,19,20
PHILADELPHIA 76ERS,240,44,91,15,33,13,15,7,47,23,7,10,14,23
ORLANDO MAGIC,240,33,95,7,28,19,21,10,38,17,2,5,11,15
NEW YORK KNICKS,240,32,88,3,36,16,20,9,39,21,6,3,15,21
TORONTO RAPTORS,240,34,83,17,52,15,21,9,44,21,7,6,16,22
PHOENIX SUNS,240,41,84,17,33,7,10,5,36,26,5,6,15,17
UTAH JAZZ,240,35,84,12,34,13,19,10,36,16,8,3,13,15
CHICAGO BULLS,240,50,92,14,36,19,25,9,35,34,9,3,15,27
WASHINGTON WIZARDS,240,42,84,14,29,32,41,9,28,27,8,4,14,27
