team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,36,89,8,26,19,22,13,33,23,11,4,12,19
ATLANTA HAWKS,240,37,80,10,26,24,25,9,37,20,7,9,14,17
WASHINGTON WIZARDS,240,33,85,5,26,17,23,12,38,19,7,3,20,22
HOUSTON ROCKETS,240,37,88,12,37,21,29,8,36,16,13,4,13,17
NEW YORK KNICKS,240,36,83,10,27,12,17,9,35,15,6,4,11,21
UTAH JAZZ,240,37,92,15,48,19,22,17,36,24,6,5,6,14
