team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE HORNETS,240,32,85,11,36,27,33,8,41,22,11,7,9,14
ATLANTA HAWKS,240,36,96,7,40,15,18,12,45,25,6,1,13,25
LOS ANGELES CLIPPERS,240,36,81,11,34,25,25,12,36,19,6,3,19,26
GOLDEN STATE WARRIORS,240,39,86,8,30,15,19,8,27,25,10,2,13,21
HOUSTON ROCKETS,240,39,81,8,30,21,26,5,34,19,7,12,16,22
INDIANA PACERS,240,42,89,9,23,21,26,7,31,21,10,9,9,21
BOSTON CELTICS,240,42,99,12,35,11,12,16,37,22,7,5,7,23
MIAMI HEAT,240,35,81,13,36,22,26,6,36,26,2,7,8,15
DETROIT PISTONS,240,38,97,13,41,26,30,15,32,20,6,3,9,20
MILWAUKEE BUCKS,240,49,90,19,43,13,21,9,38,35,5,4,14,22
OKLAHOMA CITY THUNDER,240,40,87,19,46,12,16,4,34,28,10,5,14,18
NEW ORLEANS PELICANS,240,44,89,4,22,18,23,9,43,25,11,0,15,18
UTAH JAZZ,240,40,91,14,44,6,11,10,32,20,5,9,14,15
NEW YORK KNICKS,240,45,87,8,22,14,19,11,37,22,10,5,12,17
CLEVELAND CAVALIERS,240,36,85,4,26,18,26,13,32,24,9,4,10,19
ORLANDO MAGIC,240,40,81,12,29,13,18,8,35,20,4,4,15,22
WASHINGTON WIZARDS,240,47,94,16,37,26,35,9,26,27,9,2,13,27
PHILADELPHIA 76ERS,240,50,81,18,29,23,33,1,34,33,9,6,16,21
TORONTO RAPTORS,240,39,79,14,35,23,32,10,32,18,6,5,12,19
PHOENIX SUNS,240,40,83,21,40,22,24,8,33,30,4,3,10,23
CHICAGO BULLS,240,49,93,14,40,12,15,10,33,27,3,2,14,21
SACRAMENTO KINGS,240,47,91,14,37,20,27,12,27,30,8,3,7,16
