team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,37,92,15,42,23,27,13,27,16,9,2,8,22
BROOKLYN NETS,240,44,76,12,29,17,22,3,38,29,3,6,15,19
SACRAMENTO KINGS,240,48,86,9,31,11,17,4,40,28,7,6,10,19
CHARLOTTE HORNETS,240,45,94,12,30,20,25,10,36,30,7,3,8,15
LOS ANGELES CLIPPERS,240,43,86,14,32,9,11,9,37,23,10,0,9,12
DALLAS MAVERICKS,240,39,79,17,41,4,5,4,29,24,8,4,14,16
INDIANA PACERS,240,39,90,17,42,11,13,10,29,28,8,9,11,13
DENVER NUGGETS,240,45,97,15,28,16,19,17,37,32,7,7,10,15
SAN ANTONIO SPURS,240,47,83,12,25,3,5,10,35,29,3,9,21,23
DETROIT PISTONS,240,39,83,7,25,14,25,8,26,22,9,5,8,9
LOS ANGELES LAKERS,240,49,78,11,27,19,25,7,39,36,9,3,19,25
GOLDEN STATE WARRIORS,240,34,79,13,37,16,24,9,21,24,9,2,22,23
MEMPHIS GRIZZLIES,240,38,87,5,23,18,26,10,29,15,11,0,10,17
PHOENIX SUNS,240,47,83,12,30,16,18,5,37,28,7,5,14,19
MILWAUKEE BUCKS,240,52,94,11,28,18,19,9,37,29,6,5,16,20
WASHINGTON WIZARDS,240,44,87,16,38,18,24,2,31,34,5,1,14,18
