team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,45,85,12,31,23,28,8,38,27,6,6,13,25
ATLANTA HAWKS,240,39,90,11,32,25,33,10,31,22,10,4,12,17
DETROIT PISTONS,240,34,79,15,38,25,30,6,38,25,3,6,12,20
BOSTON CELTICS,240,36,82,8,27,22,30,7,37,15,9,2,10,25
LOS ANGELES CLIPPERS,240,50,86,13,30,12,15,4,33,20,11,7,9,13
CHICAGO BULLS,240,40,85,12,32,14,15,8,33,23,4,3,13,16
MINNESOTA TIMBERWOLVES,240,45,99,16,41,8,14,9,31,28,10,4,8,18
CHARLOTTE HORNETS,240,44,90,13,36,19,19,12,43,20,4,3,20,17
NEW ORLEANS PELICANS,240,48,90,17,37,17,23,9,29,31,5,3,9,19
DALLAS MAVERICKS,240,51,88,25,45,16,21,5,32,30,4,2,6,22
OKLAHOMA CITY THUNDER,240,36,90,10,32,13,17,12,38,26,8,3,12,19
DENVER NUGGETS,240,40,87,10,40,7,10,7,34,24,6,6,13,14
MEMPHIS GRIZZLIES,240,39,80,12,29,15,19,6,27,31,9,2,17,25
LOS ANGELES LAKERS,240,43,85,6,30,23,33,13,34,26,9,4,18,16
CLEVELAND CAVALIERS,240,38,87,8,23,26,37,10,31,20,6,3,11,21
PORTLAND TRAIL BLAZERS,240,43,83,13,35,30,33,9,36,16,3,4,14,29
ORLANDO MAGIC,240,46,91,15,34,16,20,10,32,25,8,2,10,15
SACRAMENTO KINGS,240,43,83,12,33,14,19,8,34,33,8,1,18,18
MILWAUKEE BUCKS,240,42,92,12,33,19,27,6,27,19,8,6,10,28
UTAH JAZZ,240,43,82,14,38,29,34,7,39,22,4,5,17,22
NEW YORK KNICKS,240,44,98,6,24,15,22,15,50,22,11,4,11,22
WASHINGTON WIZARDS,240,34,89,9,34,14,20,9,37,20,5,5,14,18
