team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,43,93,16,39,12,14,10,38,24,8,3,9,20
BROOKLYN NETS,240,35,86,7,37,19,23,10,35,19,6,6,15,16
MEMPHIS GRIZZLIES,240,43,90,14,39,8,10,10,38,34,10,6,15,18
CHARLOTTE HORNETS,240,35,86,9,31,14,21,10,32,23,9,4,18,15
MIAMI HEAT,240,29,78,7,33,18,25,5,36,20,10,2,14,24
DALLAS MAVERICKS,240,32,78,12,37,17,23,4,45,18,9,3,16,25
PHOENIX SUNS,240,37,76,13,35,19,21,8,29,24,1,4,17,20
DENVER NUGGETS,240,39,86,12,29,13,16,8,30,28,7,1,11,25
BOSTON CELTICS,240,39,83,8,31,7,14,7,37,20,12,11,19,20
DETROIT PISTONS,240,36,88,11,34,13,20,12,36,18,9,2,19,16
PORTLAND TRAIL BLAZERS,240,40,92,20,43,23,30,8,43,23,11,3,10,27
GOLDEN STATE WARRIORS,240,31,79,7,35,29,33,3,41,19,4,9,15,28
CHICAGO BULLS,240,38,87,6,26,14,20,6,36,18,10,6,20,21
MILWAUKEE BUCKS,240,42,85,22,45,20,30,5,39,27,16,6,17,19
WASHINGTON WIZARDS,240,49,89,16,33,16,21,8,35,35,9,3,16,19
MINNESOTA TIMBERWOLVES,240,42,88,13,36,12,21,11,32,17,9,3,20,22
LOS ANGELES LAKERS,240,41,101,14,33,13,16,16,42,27,8,7,13,20
SAN ANTONIO SPURS,240,36,85,13,34,18,26,8,37,23,3,8,13,20
LOS ANGELES CLIPPERS,240,33,85,13,33,21,24,12,31,19,6,8,8,16
UTAH JAZZ,240,41,89,15,42,9,14,13,33,28,3,3,13,20
