team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
UTAH JAZZ,240,32,75,20,47,33,39,10,28,28,3,4,14,21
DENVER NUGGETS,240,47,87,18,28,16,19,7,32,28,8,2,8,27
PHILADELPHIA 76ERS,240,45,92,8,26,21,31,14,30,20,9,8,12,21
INDIANA PACERS,240,41,84,10,28,18,22,9,32,21,6,7,17,25
CLEVELAND CAVALIERS,240,41,84,4,16,18,23,10,45,20,3,3,19,14
MINNESOTA TIMBERWOLVES,240,41,91,16,40,11,15,7,27,24,10,11,8,25
LOS ANGELES CLIPPERS,240,44,81,17,38,24,28,7,31,26,2,4,7,14
NEW YORK KNICKS,240,41,85,10,27,23,28,10,26,21,5,5,7,20
ORLANDO MAGIC,240,33,82,13,36,23,28,6,36,22,8,5,10,18
TORONTO RAPTORS,240,41,90,12,39,21,22,9,39,27,8,5,11,22
BROOKLYN NETS,240,50,88,19,36,27,33,7,38,33,6,5,17,24
WASHINGTON WIZARDS,240,56,108,12,39,25,32,11,28,24,10,2,7,22
