team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
GOLDEN STATE WARRIORS,240,38,81,11,29,17,24,5,38,29,9,4,19,25
DENVER NUGGETS,240,41,90,11,37,21,27,10,40,29,11,5,13,23
MIAMI HEAT,240,40,81,12,34,16,26,9,32,28,4,1,20,19
PHILADELPHIA 76ERS,240,44,82,17,37,20,24,5,30,27,15,3,18,22
INDIANA PACERS,240,44,92,9,30,14,18,13,37,29,11,5,12,13
PORTLAND TRAIL BLAZERS,240,32,87,13,43,10,10,14,29,16,8,5,18,22
HOUSTON ROCKETS,240,42,86,13,33,12,19,10,39,25,6,6,18,16
SAN ANTONIO SPURS,240,42,92,9,31,12,16,10,31,26,10,4,10,17
CHARLOTTE HORNETS,240,42,87,15,35,9,12,14,30,32,11,5,18,15
TORONTO RAPTORS,240,40,88,20,50,11,13,13,27,33,13,6,17,16
