team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
HOUSTON ROCKETS,240,37,86,12,36,16,26,10,30,26,6,1,12,11
BOSTON CELTICS,240,46,88,17,41,9,12,11,39,35,9,7,13,22
CHARLOTTE HORNETS,240,43,95,8,31,20,29,11,33,27,16,3,10,16
INDIANA PACERS,240,38,82,10,33,11,19,9,39,29,7,6,20,21
MINNESOTA TIMBERWOLVES,240,38,85,12,33,20,23,5,34,21,6,6,11,20
MEMPHIS GRIZZLIES,240,42,95,19,39,17,25,14,39,26,8,4,10,20
ATLANTA HAWKS,240,49,87,13,29,15,21,6,36,25,10,9,15,23
NEW ORLEANS PELICANS,240,38,88,8,29,19,23,5,29,22,7,6,15,18
DALLAS MAVERICKS,240,41,88,12,37,5,10,4,43,19,6,2,10,12
NEW YORK KNICKS,240,32,89,12,38,10,10,9,34,18,7,3,11,17
OKLAHOMA CITY THUNDER,240,35,89,15,38,18,23,11,27,19,6,3,16,17
PHOENIX SUNS,240,54,90,15,33,17,21,6,35,36,12,8,10,20
MILWAUKEE BUCKS,240,49,90,12,39,17,19,4,46,25,7,5,15,18
PORTLAND TRAIL BLAZERS,240,36,99,21,54,16,22,13,32,19,11,3,13,18
LOS ANGELES LAKERS,240,43,91,17,33,12,20,13,42,26,10,2,17,19
SACRAMENTO KINGS,240,36,85,10,35,12,16,6,32,24,8,5,14,16
GOLDEN STATE WARRIORS,240,26,79,11,34,14,18,7,31,19,5,4,21,18
TORONTO RAPTORS,240,47,88,15,35,21,25,10,43,26,14,8,12,17
CHICAGO BULLS,240,43,89,7,28,13,17,7,34,26,5,3,6,19
UTAH JAZZ,240,37,79,13,36,26,27,6,37,16,6,5,10,18
