team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW ORLEANS PELICANS,240,41,82,16,31,17,30,8,39,30,8,2,14,21
BOSTON CELTICS,240,40,93,14,43,15,19,12,34,21,5,9,14,25
MINNESOTA TIMBERWOLVES,240,40,103,14,44,13,17,17,34,23,10,10,15,25
BROOKLYN NETS,240,40,85,10,30,22,25,7,43,31,10,7,14,18
TORONTO RAPTORS,240,35,86,11,36,23,28,11,28,21,5,6,13,25
DETROIT PISTONS,240,38,75,15,30,27,34,9,34,26,6,6,18,24
CHICAGO BULLS,240,44,84,6,24,8,11,8,31,33,8,5,19,18
GOLDEN STATE WARRIORS,240,46,92,16,38,8,9,10,29,28,9,8,14,14
MEMPHIS GRIZZLIES,240,46,85,11,31,17,24,7,40,31,8,4,16,18
HOUSTON ROCKETS,240,40,94,11,42,19,22,10,32,28,9,5,12,18
MILWAUKEE BUCKS,240,38,81,11,30,18,21,5,27,18,8,4,12,14
LOS ANGELES CLIPPERS,240,51,95,19,34,8,10,13,33,25,5,2,12,15
MIAMI HEAT,240,37,86,10,34,14,17,12,35,22,7,5,12,18
NEW YORK KNICKS,240,33,80,10,36,12,20,6,35,15,4,6,13,19
DALLAS MAVERICKS,240,51,96,16,44,9,13,8,35,30,11,3,8,21
OKLAHOMA CITY THUNDER,240,38,81,9,26,21,33,10,37,17,8,4,16,14
SACRAMENTO KINGS,240,47,84,18,36,20,25,4,33,29,9,6,6,15
SAN ANTONIO SPURS,240,47,93,10,27,11,14,12,29,24,5,4,11,18
CLEVELAND CAVALIERS,240,29,83,7,34,10,16,6,34,17,5,5,10,18
UTAH JAZZ,240,38,82,19,41,19,23,9,46,29,6,5,12,14
INDIANA PACERS,240,44,93,12,30,24,33,7,30,32,11,6,14,18
WASHINGTON WIZARDS,240,55,99,10,19,12,18,12,43,30,5,8,18,24
