team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,36,87,10,27,29,35,13,26,24,8,4,11,24
ATLANTA HAWKS,240,42,82,10,32,22,24,4,36,22,8,4,13,28
TORONTO RAPTORS,240,44,97,13,32,20,28,15,28,21,10,4,7,25
BROOKLYN NETS,240,32,67,13,35,25,34,6,32,24,4,11,24,24
BOSTON CELTICS,240,43,82,8,19,17,21,13,31,22,10,5,19,22
CHICAGO BULLS,240,34,80,13,34,23,31,11,26,23,15,5,15,22
OKLAHOMA CITY THUNDER,240,43,96,14,37,21,26,18,34,24,6,4,11,16
CLEVELAND CAVALIERS,240,39,85,14,30,14,17,9,33,19,4,0,13,26
CHARLOTTE HORNETS,265,42,85,11,25,28,31,16,37,27,5,5,17,22
DALLAS MAVERICKS,265,47,100,15,50,11,13,14,27,28,7,4,10,25
DETROIT PISTONS,240,43,83,11,27,14,16,9,37,24,13,5,21,25
GOLDEN STATE WARRIORS,240,33,82,11,21,27,32,11,31,26,13,3,14,19
MEMPHIS GRIZZLIES,240,49,96,18,39,24,28,11,43,36,8,10,9,23
LOS ANGELES CLIPPERS,240,45,101,7,30,17,22,14,35,20,3,1,13,22
SAN ANTONIO SPURS,240,38,92,11,32,31,34,11,39,20,7,0,8,20
MILWAUKEE BUCKS,240,43,87,17,45,24,33,7,42,23,4,10,9,22
UTAH JAZZ,240,42,93,16,40,9,14,14,37,22,3,3,8,10
ORLANDO MAGIC,240,38,85,11,37,9,12,9,37,21,6,5,10,12
NEW ORLEANS PELICANS,240,38,87,16,45,25,33,9,35,28,11,3,15,25
SACRAMENTO KINGS,240,38,85,12,21,27,36,14,37,20,9,3,20,24
DENVER NUGGETS,240,40,87,6,29,28,34,9,24,18,6,2,12,23
WASHINGTON WIZARDS,240,50,91,6,16,22,27,14,35,20,5,6,11,28
