team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,34,86,8,37,20,29,6,34,13,11,4,10,19
ATLANTA HAWKS,240,39,94,9,34,25,29,18,47,20,6,3,13,22
BROOKLYN NETS,240,49,89,14,37,22,28,10,34,30,7,2,13,21
NEW ORLEANS PELICANS,240,51,91,12,33,15,24,7,30,28,5,2,13,21
CHARLOTTE HORNETS,240,39,86,16,39,3,8,11,28,26,6,3,12,10
NEW YORK KNICKS,240,40,83,18,45,11,12,11,28,22,5,6,9,13
LOS ANGELES CLIPPERS,240,45,90,11,38,12,15,10,36,24,3,3,10,15
PORTLAND TRAIL BLAZERS,240,42,94,14,44,14,19,13,29,22,7,4,6,16
MINNESOTA TIMBERWOLVES,240,51,90,18,43,14,19,12,38,34,5,9,18,16
SACRAMENTO KINGS,240,44,97,18,42,14,16,13,26,28,10,3,10,17
