team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,40,87,15,43,10,20,9,30,28,9,3,10,17
CHARLOTTE HORNETS,240,39,79,18,43,14,19,6,36,30,6,7,16,16
INDIANA PACERS,240,38,87,20,47,13,18,13,36,26,9,10,10,17
DALLAS MAVERICKS,240,39,95,8,35,8,14,15,36,17,4,4,15,18
BROOKLYN NETS,240,37,84,13,33,26,34,16,33,19,3,4,10,27
DETROIT PISTONS,240,33,73,11,31,34,47,7,29,19,6,4,9,30
ATLANTA HAWKS,240,46,84,13,33,19,24,8,37,31,6,5,10,23
GOLDEN STATE WARRIORS,240,39,79,12,28,18,26,5,28,29,7,4,12,22
CLEVELAND CAVALIERS,240,31,80,5,26,19,28,10,27,24,11,4,21,19
LOS ANGELES LAKERS,240,38,78,6,26,18,25,9,36,23,15,3,23,23
BOSTON CELTICS,240,43,88,22,47,14,16,8,36,27,10,8,14,16
MILWAUKEE BUCKS,240,44,99,19,47,7,11,16,33,24,7,3,16,16
HOUSTON ROCKETS,240,37,87,17,44,10,13,7,40,26,5,9,19,20
MINNESOTA TIMBERWOLVES,240,39,103,10,38,19,24,14,36,30,12,3,9,13
DENVER NUGGETS,240,47,93,14,28,5,7,11,25,28,7,7,8,16
NEW ORLEANS PELICANS,240,39,78,12,29,18,20,6,31,30,7,7,12,11
PORTLAND TRAIL BLAZERS,240,40,85,18,40,14,21,10,36,21,7,9,16,18
ORLANDO MAGIC,240,42,95,12,27,9,17,11,29,29,7,5,12,18
PHOENIX SUNS,240,43,90,9,36,9,9,9,38,26,4,3,13,16
TORONTO RAPTORS,240,37,90,12,45,14,16,7,31,20,5,4,10,17
MEMPHIS GRIZZLIES,240,44,97,12,30,14,18,12,36,27,3,2,6,14
UTAH JAZZ,240,45,98,12,33,15,18,14,37,25,5,4,7,15
