team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,43,84,16,36,13,16,3,30,25,8,3,13,24
ATLANTA HAWKS,240,42,81,12,34,27,33,10,34,29,6,4,11,20
OKLAHOMA CITY THUNDER,240,43,79,13,28,18,24,5,32,22,9,3,14,18
CLEVELAND CAVALIERS,240,39,84,8,35,15,20,14,28,22,9,4,15,17
BROOKLYN NETS,240,44,92,11,38,13,19,9,31,21,10,4,6,19
LOS ANGELES CLIPPERS,240,40,87,15,35,13,18,16,36,24,3,4,16,17
SACRAMENTO KINGS,240,44,100,12,33,15,20,14,29,29,6,3,12,26
MILWAUKEE BUCKS,240,44,90,11,28,29,36,14,42,22,8,5,17,19
BOSTON CELTICS,265,39,98,10,37,27,34,11,38,22,9,11,10,30
NEW ORLEANS PELICANS,265,42,94,11,36,25,37,12,40,22,5,7,13,24
MINNESOTA TIMBERWOLVES,240,33,82,16,35,17,21,7,36,24,6,3,15,24
NEW YORK KNICKS,240,33,78,6,18,31,38,11,37,17,4,4,13,25
DETROIT PISTONS,240,34,91,11,40,17,21,9,40,23,10,4,11,21
ORLANDO MAGIC,240,35,81,9,30,26,29,5,46,24,7,8,11,18
PHILADELPHIA 76ERS,240,33,85,11,37,26,35,11,34,26,8,7,10,21
TORONTO RAPTORS,240,40,81,14,34,16,18,5,34,25,5,5,14,24
