team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,31,84,11,43,12,17,8,37,20,3,7,12,21
BROOKLYN NETS,240,34,85,11,38,19,22,6,43,24,6,5,7,18
BOSTON CELTICS,240,44,87,15,29,16,20,6,38,28,9,6,12,18
CHICAGO BULLS,240,41,88,17,39,4,10,9,32,28,4,7,18,16
LOS ANGELES LAKERS,240,42,87,10,32,21,28,15,25,21,7,7,13,23
CLEVELAND CAVALIERS,240,40,86,9,21,19,22,15,29,19,8,3,17,25
DENVER NUGGETS,240,40,79,15,35,22,28,14,35,25,9,4,16,20
DALLAS MAVERICKS,240,41,84,11,32,20,24,8,26,26,11,4,11,22
PHILADELPHIA 76ERS,240,40,94,9,28,15,20,13,23,15,12,3,9,26
DETROIT PISTONS,240,35,70,17,38,32,38,11,36,22,6,6,18,20
MINNESOTA TIMBERWOLVES,240,39,94,8,24,22,25,16,31,26,8,5,18,28
GOLDEN STATE WARRIORS,240,44,89,14,30,28,37,15,31,21,13,10,15,19
TORONTO RAPTORS,240,38,93,14,38,24,27,13,26,24,9,6,10,25
INDIANA PACERS,240,40,78,12,29,37,45,7,38,26,5,8,13,25
CHARLOTTE HORNETS,240,39,89,11,38,19,27,11,30,22,5,6,14,20
ORLANDO MAGIC,240,42,88,19,37,14,22,10,39,31,10,3,15,21
OKLAHOMA CITY THUNDER,240,43,84,18,40,21,35,9,34,25,5,6,8,19
PORTLAND TRAIL BLAZERS,240,46,98,14,41,16,21,15,35,17,6,3,8,23
