team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,47,93,19,34,13,20,12,35,30,12,4,14,24
BROOKLYN NETS,240,35,80,5,27,26,30,9,33,19,6,10,19,20
TORONTO RAPTORS,240,53,86,17,32,12,14,5,34,29,12,11,17,18
CLEVELAND CAVALIERS,240,39,86,15,35,22,26,7,25,27,11,5,17,13
HOUSTON ROCKETS,240,41,88,13,37,14,20,13,32,25,8,3,18,17
GOLDEN STATE WARRIORS,240,49,91,14,35,13,16,9,36,31,13,5,16,19
PHILADELPHIA 76ERS,240,44,94,12,38,17,25,13,34,24,11,10,9,17
OKLAHOMA CITY THUNDER,240,38,76,8,20,9,19,6,39,21,3,4,22,21
WASHINGTON WIZARDS,240,39,84,9,25,19,28,7,42,27,2,1,16,12
PHOENIX SUNS,240,55,107,17,43,7,7,5,40,36,8,3,3,18
DETROIT PISTONS,240,37,83,9,26,20,28,9,29,25,9,6,11,23
PORTLAND TRAIL BLAZERS,240,43,90,13,29,19,24,14,35,18,5,8,15,20
SACRAMENTO KINGS,240,42,88,14,42,14,22,4,34,23,8,4,10,23
UTAH JAZZ,240,40,88,18,50,30,35,11,41,22,8,5,10,17
