team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,52,93,9,26,12,19,9,40,34,15,4,16,26
CHICAGO BULLS,240,34,91,16,39,22,25,13,28,23,7,7,20,16
OKLAHOMA CITY THUNDER,240,40,88,10,36,19,24,9,45,25,10,7,16,21
CHARLOTTE HORNETS,240,37,93,13,32,20,32,13,34,27,11,8,13,22
CLEVELAND CAVALIERS,290,48,99,13,30,19,30,7,44,29,13,4,18,24
DETROIT PISTONS,290,40,98,16,45,23,32,10,47,24,9,5,22,20
ATLANTA HAWKS,240,38,89,13,36,33,38,13,41,23,4,5,15,20
MEMPHIS GRIZZLIES,240,37,93,13,43,25,29,9,37,20,5,6,10,27
PHILADELPHIA 76ERS,240,41,88,11,31,16,22,12,35,20,9,6,12,19
NEW YORK KNICKS,240,32,83,8,29,17,23,13,30,19,6,4,16,23
HOUSTON ROCKETS,265,45,87,11,35,25,32,10,32,27,5,5,16,22
PORTLAND TRAIL BLAZERS,265,47,102,19,45,15,23,11,34,27,10,5,13,20
PHOENIX SUNS,240,41,98,11,44,10,13,10,30,25,8,5,11,23
SACRAMENTO KINGS,240,39,86,5,23,23,33,15,41,20,4,9,18,22
TORONTO RAPTORS,240,44,96,15,41,11,15,10,36,32,8,9,11,23
SAN ANTONIO SPURS,240,47,100,14,34,11,16,14,39,36,4,3,16,20
MINNESOTA TIMBERWOLVES,240,45,101,13,29,13,18,12,28,21,9,5,9,28
UTAH JAZZ,240,36,94,10,34,29,37,19,38,15,5,4,18,20
ORLANDO MAGIC,240,48,95,11,31,23,29,11,43,25,8,0,13,21
WASHINGTON WIZARDS,240,46,95,13,37,15,28,7,36,28,5,3,14,25
