team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,41,86,13,33,13,14,8,30,25,6,1,13,17
ATLANTA HAWKS,240,47,84,7,27,19,23,6,35,25,7,4,9,14
MINNESOTA TIMBERWOLVES,265,47,96,15,42,27,30,9,28,30,14,0,14,26
BOSTON CELTICS,265,47,87,19,42,32,34,9,36,32,9,5,20,25
SAN ANTONIO SPURS,240,43,93,9,27,24,28,11,27,33,10,2,9,21
DENVER NUGGETS,240,43,79,14,27,21,23,9,37,32,5,4,18,22
WASHINGTON WIZARDS,240,43,89,5,19,19,24,11,36,30,6,1,18,16
GOLDEN STATE WARRIORS,240,41,88,11,36,14,21,8,33,27,15,3,13,20
HOUSTON ROCKETS,240,39,83,12,37,19,27,12,29,28,3,6,14,15
LOS ANGELES CLIPPERS,240,48,88,19,37,11,13,4,34,31,10,4,9,24
CHARLOTTE HORNETS,240,44,91,19,50,20,22,13,36,35,4,10,18,19
MILWAUKEE BUCKS,240,44,98,14,38,17,23,13,35,23,10,3,17,14
PHILADELPHIA 76ERS,240,33,79,11,31,17,24,4,43,20,8,5,19,23
NEW ORLEANS PELICANS,240,39,90,4,22,19,30,10,46,22,11,7,12,17
MEMPHIS GRIZZLIES,265,47,94,14,30,21,34,10,33,33,7,6,14,27
NEW YORK KNICKS,265,45,96,14,32,29,33,11,37,24,7,7,12,25
INDIANA PACERS,240,38,92,11,33,24,28,11,38,26,8,10,14,24
ORLANDO MAGIC,240,38,90,6,24,24,31,12,38,23,3,8,15,22
