team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,42,89,13,46,27,32,2,29,29,7,1,8,23
BROOKLYN NETS,240,44,83,19,37,21,26,9,38,34,0,6,16,26
LOS ANGELES LAKERS,240,36,79,4,19,25,31,5,37,20,7,4,18,18
CHICAGO BULLS,240,33,84,8,25,16,22,10,35,18,8,1,18,28
HOUSTON ROCKETS,240,47,86,16,37,23,29,13,39,28,5,5,14,28
DALLAS MAVERICKS,240,37,83,5,25,29,40,10,26,15,7,4,10,23
PHILADELPHIA 76ERS,240,38,83,8,23,30,38,12,37,14,10,7,15,24
DETROIT PISTONS,240,37,86,14,33,22,30,8,35,25,9,8,15,28
NEW ORLEANS PELICANS,240,40,87,10,33,20,28,10,32,21,5,4,20,24
MINNESOTA TIMBERWOLVES,240,39,91,12,34,30,37,14,36,23,14,4,11,22
DENVER NUGGETS,290,40,97,15,36,25,32,12,53,22,4,3,16,20
PHOENIX SUNS,290,41,102,16,53,14,18,7,43,26,8,4,9,31
GOLDEN STATE WARRIORS,240,42,93,14,39,10,15,4,31,30,6,8,11,21
UTAH JAZZ,240,45,94,20,50,17,22,14,43,28,6,4,16,20
