team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,44,97,14,38,7,10,15,39,25,12,9,10,16
CHARLOTTE HORNETS,240,34,86,12,34,12,16,8,33,25,7,4,17,16
DENVER NUGGETS,240,45,97,8,25,6,9,14,25,25,7,5,16,22
HOUSTON ROCKETS,240,46,87,16,34,22,31,13,30,20,6,7,15,17
PHILADELPHIA 76ERS,240,37,91,6,29,17,20,14,33,24,4,6,12,22
INDIANA PACERS,240,42,86,11,25,20,26,5,33,35,3,6,6,16
DALLAS MAVERICKS,240,33,93,15,51,20,27,17,32,19,5,4,10,24
OKLAHOMA CITY THUNDER,240,39,91,6,27,22,28,18,38,18,7,5,11,21
LOS ANGELES CLIPPERS,240,36,88,12,36,21,22,14,37,21,9,2,11,17
SACRAMENTO KINGS,240,33,80,8,28,13,19,11,30,20,8,5,15,23
GOLDEN STATE WARRIORS,265,44,96,12,27,13,18,9,35,31,5,6,8,14
SAN ANTONIO SPURS,265,45,96,14,31,13,17,10,43,30,6,6,10,18
CLEVELAND CAVALIERS,240,37,87,10,38,13,16,8,33,21,5,4,14,19
TORONTO RAPTORS,240,40,84,17,39,20,25,10,35,29,5,7,11,15
