team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,39,81,8,28,18,23,4,37,20,6,6,12,18
ATLANTA HAWKS,240,40,88,13,35,18,23,5,39,23,6,1,9,20
PHOENIX SUNS,240,43,90,12,34,21,25,15,28,22,5,3,12,24
BROOKLYN NETS,240,46,87,13,28,23,27,11,33,30,6,4,10,17
BOSTON CELTICS,240,34,88,14,41,22,26,11,30,18,6,2,13,13
CHARLOTTE HORNETS,240,47,93,21,43,10,11,10,36,39,7,8,11,21
SACRAMENTO KINGS,240,41,86,14,37,17,22,6,32,22,8,5,11,15
GOLDEN STATE WARRIORS,240,46,95,14,36,11,15,16,36,30,6,3,16,16
INDIANA PACERS,240,50,91,15,32,16,18,5,43,28,3,5,13,20
ORLANDO MAGIC,240,40,101,10,32,22,28,15,36,22,9,3,6,14
MEMPHIS GRIZZLIES,240,42,91,12,23,24,28,8,46,22,9,7,15,22
PORTLAND TRAIL BLAZERS,240,39,105,14,38,21,25,15,38,21,11,6,11,22
CLEVELAND CAVALIERS,240,40,78,10,27,20,25,10,27,28,5,4,19,25
WASHINGTON WIZARDS,240,43,89,12,31,21,26,10,26,25,11,6,10,21
