team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW ORLEANS PELICANS,240,37,91,12,38,21,28,16,33,24,7,7,14,15
ATLANTA HAWKS,240,44,88,20,31,15,22,10,32,24,7,6,11,23
PHILADELPHIA 76ERS,240,34,73,9,24,29,39,9,29,16,11,4,13,20
BOSTON CELTICS,240,33,70,14,34,16,18,3,29,19,5,6,20,22
DETROIT PISTONS,240,44,81,15,35,16,20,7,23,27,4,2,13,12
DENVER NUGGETS,240,56,94,14,31,8,9,13,31,36,7,5,10,20
MILWAUKEE BUCKS,240,44,86,14,32,19,22,6,34,25,7,2,14,13
GOLDEN STATE WARRIORS,240,46,96,15,40,15,17,12,30,28,6,5,11,18
CHICAGO BULLS,240,44,94,14,33,11,14,14,43,28,9,5,20,12
INDIANA PACERS,240,38,88,9,30,12,16,6,27,20,15,12,14,17
PORTLAND TRAIL BLAZERS,240,37,92,11,36,31,37,14,34,18,4,5,7,22
LOS ANGELES CLIPPERS,240,46,89,16,41,25,30,8,40,24,5,5,7,24
MEMPHIS GRIZZLIES,240,46,84,17,41,15,20,9,33,30,11,2,13,13
MIAMI HEAT,240,44,82,13,33,11,18,7,28,34,9,4,12,16
LOS ANGELES LAKERS,240,39,79,18,40,14,22,11,38,29,8,7,21,24
TORONTO RAPTORS,240,36,91,5,33,24,30,15,27,17,13,3,12,19
