team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE HORNETS,240,30,86,13,38,16,19,11,32,22,11,5,11,9
BROOKLYN NETS,240,44,91,20,45,3,4,13,43,34,8,5,15,18
PHILADELPHIA 76ERS,240,40,93,15,37,19,25,12,43,27,11,8,9,19
CLEVELAND CAVALIERS,240,34,80,10,35,16,21,4,36,26,5,3,18,24
WASHINGTON WIZARDS,240,40,85,5,19,6,19,4,36,25,6,6,14,21
DETROIT PISTONS,240,45,94,12,29,18,22,10,38,31,8,5,13,18
DENVER NUGGETS,240,39,81,13,25,10,14,7,31,28,6,5,13,16
LOS ANGELES CLIPPERS,240,35,85,10,34,14,16,13,32,17,6,5,10,19
GOLDEN STATE WARRIORS,240,36,82,15,37,22,25,12,34,23,7,3,20,26
MIAMI HEAT,240,39,82,13,39,25,30,5,32,30,10,6,11,22
ORLANDO MAGIC,265,45,106,5,25,20,23,12,36,20,17,5,10,20
NEW ORLEANS PELICANS,265,41,93,12,29,16,19,12,43,26,7,7,24,23
ATLANTA HAWKS,290,50,100,13,24,21,26,10,47,28,3,9,12,22
SAN ANTONIO SPURS,290,49,110,13,40,18,24,11,35,25,8,6,6,22
