team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
UTAH JAZZ,240,38,80,19,43,22,24,10,28,23,6,6,15,18
BOSTON CELTICS,240,48,98,10,29,3,4,16,29,28,8,5,13,18
OKLAHOMA CITY THUNDER,240,42,90,7,20,11,13,13,30,16,9,9,17,15
CHICAGO BULLS,240,48,94,12,36,15,18,12,30,24,8,4,11,17
ATLANTA HAWKS,240,44,86,17,37,14,16,9,29,32,8,6,12,18
HOUSTON ROCKETS,240,42,88,13,34,10,13,10,27,27,6,6,13,19
MINNESOTA TIMBERWOLVES,240,47,90,11,35,16,22,8,26,28,9,6,12,21
LOS ANGELES LAKERS,240,50,87,13,26,24,28,10,33,37,3,3,13,16
CLEVELAND CAVALIERS,240,39,86,10,35,10,14,15,27,23,7,6,14,19
MIAMI HEAT,240,42,85,10,27,19,21,16,32,30,11,5,13,18
NEW YORK KNICKS,240,37,84,8,24,14,22,9,38,19,7,5,12,23
PHILADELPHIA 76ERS,240,37,90,11,32,14,19,12,38,19,8,10,11,22
NEW ORLEANS PELICANS,240,46,88,16,33,16,20,10,31,38,8,3,16,24
PORTLAND TRAIL BLAZERS,240,38,73,18,43,31,31,4,28,20,8,8,17,19
