team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MINNESOTA TIMBERWOLVES,240,36,91,14,37,11,16,9,30,22,16,6,18,21
ATLANTA HAWKS,240,37,79,11,28,23,25,7,41,32,15,8,24,17
MILWAUKEE BUCKS,240,46,105,11,38,20,24,11,30,21,9,2,5,15
BROOKLYN NETS,240,46,84,15,31,18,21,7,42,26,2,5,17,19
HOUSTON ROCKETS,240,46,88,17,40,11,17,2,34,25,8,1,17,20
CHICAGO BULLS,240,43,92,20,45,19,21,10,37,23,10,3,17,19
GOLDEN STATE WARRIORS,240,44,87,12,37,15,20,5,27,31,8,3,13,27
LOS ANGELES LAKERS,240,40,83,9,29,24,33,12,38,23,6,5,16,22
PHOENIX SUNS,240,40,88,15,36,9,16,12,32,30,8,4,18,20
MEMPHIS GRIZZLIES,240,41,83,11,26,15,20,9,31,31,13,3,15,15
DETROIT PISTONS,240,38,82,13,37,18,24,10,22,24,8,3,16,23
MIAMI HEAT,240,43,75,12,30,15,19,5,31,23,8,6,18,27
ORLANDO MAGIC,240,29,86,12,38,14,16,10,41,18,4,9,11,24
NEW YORK KNICKS,240,31,87,5,27,24,34,13,40,15,6,4,6,16
SAN ANTONIO SPURS,240,48,90,15,33,14,16,12,36,33,6,6,12,17
PORTLAND TRAIL BLAZERS,240,39,90,10,35,16,19,8,26,20,9,6,13,15
DALLAS MAVERICKS,240,31,82,9,36,22,27,8,30,21,6,4,16,16
TORONTO RAPTORS,240,44,88,12,33,16,18,9,37,23,9,6,14,23
