team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,240,36,86,6,26,27,36,10,37,23,8,4,13,21
CHICAGO BULLS,240,36,85,9,30,20,24,10,40,23,6,3,16,26
HOUSTON ROCKETS,240,35,86,13,47,11,16,8,31,20,9,4,11,18
CHARLOTTE HORNETS,240,44,90,19,41,12,13,11,40,28,5,6,14,15
MINNESOTA TIMBERWOLVES,240,42,91,18,42,20,28,7,34,27,9,5,9,27
DALLAS MAVERICKS,240,45,87,12,34,25,30,10,38,30,4,6,14,22
MILWAUKEE BUCKS,240,45,89,16,40,19,22,11,39,24,7,7,10,19
DENVER NUGGETS,240,41,94,15,36,15,16,8,30,22,5,4,9,15
OKLAHOMA CITY THUNDER,265,43,110,12,38,14,19,15,40,23,6,4,12,23
LOS ANGELES LAKERS,265,44,95,9,38,22,29,10,49,28,7,12,15,19
TORONTO RAPTORS,240,42,77,20,37,24,26,7,30,28,11,2,14,24
MEMPHIS GRIZZLIES,240,37,87,13,39,26,29,19,23,27,7,4,15,18
CLEVELAND CAVALIERS,240,44,86,8,24,17,25,9,30,23,5,5,10,20
PHOENIX SUNS,240,47,90,11,24,14,19,14,27,29,7,6,10,20
GOLDEN STATE WARRIORS,240,38,86,13,37,11,15,6,43,29,4,6,20,19
SAN ANTONIO SPURS,240,39,96,11,31,16,19,10,36,24,12,6,10,16
