team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES CLIPPERS,240,43,87,18,38,8,9,10,25,28,3,5,9,19
BOSTON CELTICS,240,42,86,16,32,17,23,14,29,25,6,4,8,12
PHOENIX SUNS,240,38,77,16,29,22,25,5,30,30,5,7,13,16
LOS ANGELES LAKERS,240,40,79,11,31,13,17,5,29,18,6,8,12,23
ATLANTA HAWKS,240,34,71,13,36,13,15,11,36,26,5,2,23,18
MIAMI HEAT,240,28,75,9,33,15,22,5,21,15,16,4,7,13
DENVER NUGGETS,240,53,95,11,30,11,12,9,36,28,10,3,10,19
MILWAUKEE BUCKS,240,32,79,11,40,22,31,11,29,22,4,4,13,18
NEW YORK KNICKS,240,33,81,15,36,12,15,9,32,18,2,5,16,16
SAN ANTONIO SPURS,240,43,89,18,42,15,21,9,36,31,12,4,8,14
MEMPHIS GRIZZLIES,240,47,95,13,29,18,23,9,35,26,15,1,11,21
WASHINGTON WIZARDS,240,41,81,11,31,18,25,4,33,29,8,3,22,20
