team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,36,88,10,32,20,31,13,25,27,12,1,18,28
CHICAGO BULLS,240,41,81,14,33,24,31,9,37,22,9,2,19,25
ATLANTA HAWKS,240,44,83,15,34,22,34,10,35,30,1,5,14,21
DENVER NUGGETS,240,46,104,11,41,18,22,15,25,31,7,5,3,24
OKLAHOMA CITY THUNDER,240,29,82,6,25,21,24,9,31,19,9,4,15,16
INDIANA PACERS,240,46,94,7,23,12,13,11,39,21,6,4,14,20
DETROIT PISTONS,240,34,78,15,41,25,37,8,24,27,9,9,16,28
MIAMI HEAT,240,41,77,14,32,21,27,8,34,34,6,1,19,30
CLEVELAND CAVALIERS,240,38,86,5,21,16,20,9,36,13,10,0,13,13
PHILADELPHIA 76ERS,240,40,89,8,38,10,13,11,35,24,8,8,14,20
LOS ANGELES LAKERS,240,51,95,10,25,11,21,8,36,39,4,4,9,21
PHOENIX SUNS,240,43,91,16,38,13,17,6,33,32,3,4,11,22
PORTLAND TRAIL BLAZERS,240,34,77,8,30,23,30,7,33,15,4,5,17,19
SACRAMENTO KINGS,240,38,86,11,32,20,26,11,35,24,9,5,14,25
BROOKLYN NETS,240,41,90,11,37,21,25,10,33,19,5,8,16,29
UTAH JAZZ,240,43,92,6,26,27,35,11,35,16,7,4,11,18
