team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CLEVELAND CAVALIERS,240,42,92,11,29,8,10,12,34,28,8,7,10,16
CHICAGO BULLS,240,37,83,8,28,12,14,10,35,21,6,4,15,12
CHARLOTTE HORNETS,240,41,80,18,38,22,29,10,40,27,4,3,13,20
HOUSTON ROCKETS,240,33,86,16,49,15,22,10,29,24,6,2,6,19
DETROIT PISTONS,240,44,83,11,28,12,19,5,36,29,8,9,15,18
INDIANA PACERS,240,45,97,15,34,11,14,11,26,25,7,8,10,20
BOSTON CELTICS,240,45,94,19,47,10,10,9,29,24,9,6,12,15
MILWAUKEE BUCKS,240,45,90,17,37,14,20,13,33,19,8,5,16,14
DALLAS MAVERICKS,240,48,99,16,44,16,22,14,39,27,5,6,10,22
MINNESOTA TIMBERWOLVES,240,38,86,12,38,20,26,6,31,24,6,2,12,25
MEMPHIS GRIZZLIES,240,47,99,11,30,11,13,14,42,19,12,10,17,10
OKLAHOMA CITY THUNDER,240,43,95,10,35,11,17,9,35,26,13,8,14,10
PHOENIX SUNS,240,40,90,11,33,20,22,10,37,22,9,3,8,15
ORLANDO MAGIC,240,42,90,13,37,15,19,9,40,18,3,5,11,18
ATLANTA HAWKS,240,41,85,7,25,19,23,11,31,17,5,3,13,20
SACRAMENTO KINGS,240,40,84,10,30,20,22,12,30,21,5,6,16,16
LOS ANGELES CLIPPERS,240,49,88,17,33,19,30,5,39,23,10,3,8,20
SAN ANTONIO SPURS,240,39,85,7,22,16,19,6,34,22,6,6,16,24
DENVER NUGGETS,240,41,98,14,43,15,18,17,29,25,5,2,11,19
TORONTO RAPTORS,240,45,89,24,48,21,23,9,36,31,3,6,9,21
BROOKLYN NETS,240,35,97,7,35,11,15,13,35,19,9,1,9,10
UTAH JAZZ,240,41,91,23,55,13,14,11,45,24,6,6,11,15
