team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,40,77,7,23,20,24,4,27,24,10,7,11,20
ATLANTA HAWKS,240,37,78,11,29,14,17,6,30,27,8,3,17,21
NEW YORK KNICKS,240,37,87,6,29,22,26,11,34,21,6,6,11,19
CHICAGO BULLS,240,42,88,11,34,15,20,7,33,30,3,1,12,19
MINNESOTA TIMBERWOLVES,240,40,102,11,38,7,11,15,30,20,4,1,8,21
CLEVELAND CAVALIERS,240,35,84,7,22,23,31,15,37,26,4,12,13,12
PHOENIX SUNS,240,43,92,13,35,10,12,11,34,19,7,3,16,24
DALLAS MAVERICKS,240,37,86,10,32,24,25,7,35,16,9,7,14,17
CHARLOTTE HORNETS,265,43,95,21,41,22,26,13,31,31,6,4,11,22
MIAMI HEAT,265,43,91,19,46,16,25,10,38,28,8,7,15,26
PORTLAND TRAIL BLAZERS,240,39,104,15,42,13,13,14,31,19,8,6,11,10
MILWAUKEE BUCKS,240,53,96,21,42,7,12,9,44,38,10,7,12,13
SACRAMENTO KINGS,240,42,88,14,43,20,26,13,39,31,3,8,20,18
NEW ORLEANS PELICANS,240,40,101,9,30,20,24,17,29,22,11,5,10,22
HOUSTON ROCKETS,240,49,102,28,52,10,11,10,40,30,8,6,11,20
OKLAHOMA CITY THUNDER,240,39,89,13,34,15,19,8,37,21,8,8,16,13
MEMPHIS GRIZZLIES,240,52,93,15,30,14,18,10,43,37,11,11,9,16
SAN ANTONIO SPURS,240,37,89,13,37,15,22,10,32,28,8,7,14,13
