team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,40,96,15,46,9,16,13,41,22,8,12,10,15
CHARLOTTE HORNETS,240,38,100,10,38,7,14,15,38,26,8,7,11,17
MILWAUKEE BUCKS,240,41,85,19,43,9,14,10,38,31,10,9,14,20
DETROIT PISTONS,240,36,92,14,35,15,22,13,34,25,8,3,16,19
NEW ORLEANS PELICANS,240,42,88,10,28,12,16,12,36,18,4,4,9,19
LOS ANGELES CLIPPERS,240,35,74,18,37,23,27,3,33,26,4,6,10,16
MEMPHIS GRIZZLIES,240,50,106,8,25,10,13,15,32,33,11,5,7,24
MINNESOTA TIMBERWOLVES,240,39,90,9,37,20,24,11,37,27,3,6,12,18
BROOKLYN NETS,240,44,91,16,40,12,17,12,34,29,3,5,6,12
NEW YORK KNICKS,240,44,92,11,28,10,12,12,31,22,4,3,9,16
LOS ANGELES LAKERS,240,47,95,17,37,17,22,12,38,26,6,6,9,16
OKLAHOMA CITY THUNDER,240,37,86,10,31,15,19,9,33,23,4,6,11,21
PORTLAND TRAIL BLAZERS,240,44,90,23,48,21,27,12,26,28,9,8,8,24
SACRAMENTO KINGS,240,44,84,19,38,19,26,8,34,35,4,2,13,18
