Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (17014497),Luka Doncic,17014497,PG/SF/F/G/UTIL,11000,SA@DAL 04/11/2021 08:00PM ET,DAL,55.42
C,Karl-Anthony Towns (17014502),Karl-Anthony Towns,17014502,C/UTIL,10800,CHI@MIN 04/11/2021 08:00PM ET,MIN,50.67
PF/C,Giannis Antetokounmpo (17014504),Giannis Antetokounmpo,17014504,PF/C/F/UTIL,10700,MIL@ORL 04/11/2021 07:00PM ET,MIL,57.37
PF,Julius Randle (17014508),Julius Randle,17014508,PF/F/UTIL,9800,TOR@NY 04/11/2021 08:00PM ET,NY,48.11
SF,Kawhi Leonard (17014511),Kawhi Leonard,17014511,SF/F/UTIL,9600,DET@LAC 04/11/2021 10:00PM ET,LAC,46.28
PG,Damian Lillard (17014514),Damian Lillard,17014514,PG/G/UTIL,9500,MIA@POR 04/11/2021 10:00PM ET,POR,49.10
PF/C,Zion Williamson (17014517),Zion Williamson,17014517,PF/C/F/UTIL,9400,NO@CLE 04/11/2021 07:00PM ET,NO,43.28
C,Nikola Vucevic (17014521),Nikola Vucevic,17014521,C/UTIL,9100,CHI@MIN 04/11/2021 08:00PM ET,CHI,48.90
SF,Jimmy Butler (17014523),Jimmy Butler,17014523,SF/F/UTIL,9000,MIA@POR 04/11/2021 10:00PM ET,MIA,46.30
PF/C,Kristaps Porzingis (17014526),Kristaps Porzingis,17014526,PF/C/F/UTIL,8900,SA@DAL 04/11/2021 08:00PM ET,DAL,39.39
PF/C,Pascal Siakam (17014530),Pascal Siakam,17014530,PF/C/F/UTIL,8800,TOR@NY 04/11/2021 08:00PM ET,TOR,40.22
PF/C,Domantas Sabonis (17014534),Domantas Sabonis,17014534,PF/C/F/UTIL,8700,IND@MEM 04/11/2021 08:00PM ET,IND,46.74
SG,Zach LaVine (17014538),Zach LaVine,17014538,SG/G/UTIL,8600,CHI@MIN 04/11/2021 08:00PM ET,CHI,43.81
SG,Paul George (17014541),Paul George,17014541,SG/G/UTIL,8400,DET@LAC 04/11/2021 10:00PM ET,LAC,42.05
SF,Brandon Ingram (17014546),Brandon Ingram,17014546,SF/F/UTIL,8300,NO@CLE 04/11/2021 07:00PM ET,NO,39.76
