Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Wenyen Gabriel (17225680),Wenyen Gabriel,17225680,SF/PF/F/UTIL,3000,SA@NO 04/24/2021 08:00PM ET,NO,4.65
SF/PF,Keita Bates-Diop (17225688),Keita Bates-Diop,17225688,SF/PF/F/UTIL,3000,SA@NO 04/24/2021 08:00PM ET,SA,5.46
PG,Tre Jones (17225751),Tre Jones,17225751,PG/G/UTIL,3000,SA@NO 04/24/2021 08:00PM ET,SA,3.68
PF,Luka Samanic (17225772),Luka Samanic,17225772,PF/F/UTIL,3000,SA@NO 04/24/2021 08:00PM ET,SA,7.47
SG,James Nunnally (17225787),James Nunnally,17225787,SG/G/UTIL,3000,SA@NO 04/24/2021 08:00PM ET,NO,9
SG,Cameron Reynolds (17225805),Cameron Reynolds,17225805,SG/G/UTIL,3000,SA@NO 04/24/2021 08:00PM ET,SA,0.67
SG,Quinndary Weatherspoon (17225808),Quinndary Weatherspoon,17225808,SG/G/UTIL,3000,SA@NO 04/24/2021 08:00PM ET,SA,2.68
C,JaVale McGee (17225668),JaVale McGee,17225668,C/UTIL,3000,HOU@DEN 04/24/2021 10:00PM ET,DEN,18.01
C,Bol Bol (17225670),Bol Bol,17225670,C/UTIL,3000,HOU@DEN 04/24/2021 10:00PM ET,DEN,4.64
PG,Markus Howard (17225739),Markus Howard,17225739,PG/G/UTIL,3000,HOU@DEN 04/24/2021 10:00PM ET,DEN,2.28
PG,Dante Exum (17225754),Dante Exum,17225754,PG/G/UTIL,3000,HOU@DEN 04/24/2021 10:00PM ET,HOU,12.21
SG,Jamal Murray (17225796),Jamal Murray,17225796,SG/G/UTIL,3000,HOU@DEN 04/24/2021 10:00PM ET,DEN,36.94
SG,David Nwaba (17225811),David Nwaba,17225811,SG/G/UTIL,3000,HOU@DEN 04/24/2021 10:00PM ET,HOU,19.12
SG,DaQuan Jeffries (17225814),DaQuan Jeffries,17225814,SG/G/UTIL,3000,HOU@DEN 04/24/2021 10:00PM ET,HOU,6.96
SF,Vlatko Cancar (17225832),Vlatko Cancar,17225832,SF/F/UTIL,3000,HOU@DEN 04/24/2021 10:00PM ET,DEN,3.81
PG/SF,Shaquille Harrison (17225838),Shaquille Harrison,17225838,PG/SF/F/G/UTIL,3000,HOU@DEN 04/24/2021 10:00PM ET,DEN,3.43
