slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
holidjr01,Jrue Holiday,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,2239,14,23,3,5,2,3,6,1,11,1,1,2,2,33.2
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,2641,11,23,4,12,13,14,2,12,5,1,1,2,6,32.7
harrito02,Tobias Harris,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1957,13,17,2,3,4,4,0,5,4,1,1,2,4,27.7
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,1863,11,13,2,4,2,2,1,3,0,1,2,0,3,24.1
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,1249,8,11,6,7,0,0,0,2,4,3,0,0,2,23.1
leverca01,Caris LeVert,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,WIN,2271,10,19,2,6,4,5,1,3,9,3,1,5,1,22.5
randlju01,Julius Randle,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1810,9,16,5,9,6,7,1,7,3,0,0,3,3,21.7
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,1831,9,12,0,1,0,0,2,9,5,1,1,1,0,21.5
butleji01,Jimmy Butler,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,1923,4,8,0,0,7,7,2,4,11,2,0,1,2,21.5
daviste02,Terence Davis,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,1400,10,14,7,10,0,0,0,3,1,0,2,2,2,21.4
johnske04,Keldon Johnson,SAN ANTONIO SPURS,HOME,INDIANA PACERS,LOSS,1859,7,10,2,2,4,5,4,6,0,0,1,0,1,20.3
bullore01,Reggie Bullock,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1665,8,12,6,10,0,0,0,5,1,1,0,0,0,20.0
cartewe01,Wendell Carter,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,2051,6,12,0,3,7,8,4,8,1,0,2,1,0,18.9
mccontj01,T.J. McConnell,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,WIN,2058,9,14,0,0,0,0,2,5,8,0,0,1,1,18.9
sextoco01,Collin Sexton,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,2119,11,17,0,4,4,4,0,3,3,3,0,5,3,18.3
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,1538,8,14,4,8,0,0,1,3,4,1,1,1,1,18.1
clarkjo01,Jordan Clarkson,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,1246,6,10,3,6,0,0,0,2,9,1,0,0,2,17.5
westbru01,Russell Westbrook,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,LOSS,2241,11,24,0,3,4,6,2,12,5,1,0,4,2,17.5
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,HOME,INDIANA PACERS,LOSS,2216,6,12,0,0,13,15,1,3,6,0,0,5,4,17.4
murrade01,Dejounte Murray,SAN ANTONIO SPURS,HOME,INDIANA PACERS,LOSS,2087,9,17,0,0,2,2,3,2,5,3,0,3,2,17.1
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1715,6,14,0,4,12,17,4,4,2,0,3,4,3,16.9
poeltja01,Jakob Poeltl,SAN ANTONIO SPURS,HOME,INDIANA PACERS,LOSS,2395,6,12,0,0,2,3,6,7,3,2,3,2,4,16.5
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,2259,10,24,2,7,5,5,0,3,6,1,1,3,4,16.4
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,WIN,1940,12,24,1,8,1,4,1,7,6,1,1,4,3,16.3
princta02,Taurean Prince,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,1942,7,13,2,4,3,3,1,5,3,0,0,0,2,16.2
portibo01,Bobby Portis,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,1218,8,10,0,0,2,2,1,5,1,0,0,1,0,16.1
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1996,5,9,0,0,4,6,1,7,6,2,0,1,2,16.1
mclaujo01,Jordan McLaughlin,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,2503,4,9,1,4,3,4,0,6,9,3,0,2,0,16.0
holidaa01,Aaron Holiday,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,WIN,1328,7,11,3,5,1,2,0,3,3,1,1,1,2,15.6
inglejo01,Joe Ingles,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,1267,6,9,5,7,0,0,0,6,2,2,0,2,3,15.1
bradlto01,Tony Bradley,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1471,6,8,0,0,2,2,2,6,2,1,1,1,3,14.9
lopezro01,Robin Lopez,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,LOSS,1921,8,9,0,0,2,2,1,3,0,1,1,3,1,14.8
gibsota01,Taj Gibson,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1259,5,5,0,0,1,1,1,4,1,2,2,1,0,14.5
willike04,Kenrich Williams,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1515,7,13,1,3,3,3,1,4,2,0,1,0,3,14.5
barrerj01,RJ Barrett,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1665,5,7,1,1,3,4,0,0,4,2,1,1,2,14.4
robindu01,Duncan Robinson,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,1740,6,9,6,9,0,0,0,3,2,1,0,2,3,14.2
bogdabo02,Bojan Bogdanović,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,1410,5,10,4,6,3,4,0,4,2,1,1,1,2,14.1
hieldbu01,Buddy Hield,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,1908,7,12,5,8,0,0,1,2,4,0,0,3,1,14.1
divindo01,Donte DiVincenzo,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,1867,4,9,2,4,2,2,3,11,7,1,0,3,4,14.0
halibty01,Tyrese Haliburton,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,1968,5,13,2,5,0,0,1,5,11,0,0,0,2,14.0
sumneed01,Edmond Sumner,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,WIN,1787,6,9,0,0,3,3,1,5,3,1,0,1,4,13.8
kanteen01,Enes Kanter,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,1786,6,13,0,0,0,0,6,11,4,1,1,2,4,13.7
marjabo01,Boban Marjanović,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,WIN,1438,5,11,0,1,5,6,4,8,0,0,1,0,3,13.6
okorois01,Isaac Okoro,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,2149,5,7,2,2,5,7,0,3,0,1,1,2,1,13.5
garlada01,Darius Garland,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,2301,4,8,2,4,2,2,2,2,8,2,0,3,3,13.4
mcdanja02,Jaden McDaniels,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,2128,4,10,2,6,4,4,2,6,1,1,2,0,4,13.3
mellini01,Nicolò Melli,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,WIN,1698,4,4,1,1,1,1,2,6,3,0,0,0,2,13.3
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,1069,3,5,0,1,3,3,0,7,4,2,0,0,1,13.2
powelno01,Norman Powell,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,1445,6,13,2,5,1,2,2,2,1,3,0,0,1,13.2
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,1523,6,15,3,7,1,1,1,2,6,3,0,3,1,13.0
turnemy01,Myles Turner,INDIANA PACERS,AWAY,SAN ANTONIO SPURS,WIN,2303,6,12,1,4,5,6,1,6,1,0,4,3,4,13.0
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,2478,10,23,3,7,4,4,1,0,1,1,0,4,1,12.9
littlna01,Nassir Little,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,WIN,1435,5,7,2,4,1,1,1,7,2,0,0,1,1,12.9
brunsja01,Jalen Brunson,DALLAS MAVERICKS,AWAY,WASHINGTON WIZARDS,WIN,1771,6,12,1,4,6,6,0,0,3,2,0,2,6,12.7
okekech01,Chuma Okeke,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,1976,7,15,0,3,2,2,1,4,3,1,1,1,1,12.6
plumlma01,Mason Plumlee,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,1277,3,4,0,0,3,3,3,7,1,1,2,1,3,12.5
paytoel01,Elfrid Payton,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1482,4,12,1,4,2,4,1,5,9,2,1,1,3,12.4
goberru01,Rudy Gobert,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,1200,4,6,0,0,3,5,2,4,1,0,4,1,2,11.9
quickim01,Immanuel Quickley,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1051,3,6,1,2,5,5,0,3,3,0,0,0,1,11.6
