slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
harrijo01,Joe Harris,BROOKLYN NETS,AWAY,TORONTO RAPTORS,LOSS,2032,5,10,4,5,0,0,0,4,1,0,0,2,1,8.5
finnedo01,Dorian Finney-Smith,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,2101,4,7,3,6,0,0,0,3,0,1,0,0,3,8.4
richajo01,Josh Richardson,DALLAS MAVERICKS,HOME,DETROIT PISTONS,WIN,1700,4,9,1,3,3,4,1,2,2,1,0,1,3,8.4
ellinwa01,Wayne Ellington,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,1113,3,7,3,7,2,2,0,0,2,0,0,0,1,8.3
banede01,Desmond Bane,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,1400,3,5,2,4,2,2,0,2,1,0,0,0,2,8.2
lamban01,Anthony Lamb,HOUSTON ROCKETS,HOME,UTAH JAZZ,LOSS,313,3,4,2,3,0,0,0,1,1,0,1,0,0,8.1
willipa01,Patrick Williams,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1147,3,4,2,2,1,2,0,7,2,1,0,3,1,8.1
allenja01,Jarrett Allen,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1728,4,6,0,0,0,0,1,8,0,0,1,0,3,8.0
bradlto01,Tony Bradley,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,908,4,8,0,0,0,0,4,4,0,0,0,0,0,8.0
gillefr01,Freddie Gillespie,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,1418,1,4,0,0,2,2,2,3,1,1,5,0,3,7.9
barrerj01,RJ Barrett,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,2478,6,18,2,8,2,2,1,5,5,0,0,3,2,7.7
bartowi01,Will Barton,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2038,5,13,2,8,2,3,1,5,4,1,0,4,2,7.7
nancela02,Larry Nance,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1309,4,7,2,5,0,2,0,4,1,1,0,1,1,7.4
vandeja01,Jarred Vanderbilt,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,980,2,3,0,0,0,0,3,3,2,0,1,0,1,7.4
looneke01,Kevon Looney,GOLDEN STATE WARRIORS,AWAY,WASHINGTON WIZARDS,LOSS,1577,2,3,0,0,2,2,3,5,2,0,1,2,3,7.2
dragigo01,Goran Dragić,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,1144,3,8,2,4,1,2,2,3,2,1,0,1,2,7.1
jeromty01,Ty Jerome,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,1272,4,9,1,6,0,0,1,0,5,1,0,2,1,7.1
princta02,Taurean Prince,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1282,3,7,2,5,0,0,0,3,3,1,0,0,3,7.1
