slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,2174,9,17,4,9,4,6,7,11,5,0,4,3,3,27.2
willizi01,Zion Williamson,NEW ORLEANS PELICANS,HOME,BROOKLYN NETS,LOSS,2080,14,19,0,0,5,6,3,4,4,1,0,4,3,26.8
georgpa01,Paul George,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2211,13,22,2,8,5,6,0,11,3,2,0,3,1,26.4
russeda01,D'Angelo Russell,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,1492,10,13,6,8,2,2,0,3,6,0,0,2,2,25.2
irvinky01,Kyrie Irving,BROOKLYN NETS,AWAY,NEW ORLEANS PELICANS,WIN,2263,12,19,3,7,5,6,0,2,8,1,0,5,3,24.1
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,2274,11,21,5,12,1,1,0,4,3,3,1,3,2,20.9
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,HOME,BROOKLYN NETS,LOSS,1916,10,17,2,5,5,6,1,3,5,0,0,2,4,20.2
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,2168,11,26,3,12,3,4,2,3,5,2,0,1,1,20.2
barneha02,Harrison Barnes,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2333,6,11,2,4,6,6,1,7,5,0,0,1,0,20.0
roziete01,Terry Rozier,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,2336,8,17,4,9,1,2,0,7,8,0,0,1,0,18.6
youngtr01,Trae Young,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1943,7,16,2,5,9,10,3,2,7,1,0,5,3,18.6
harklma01,Maurice Harkless,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1755,7,12,3,4,3,4,3,4,0,2,0,0,2,18.5
harrijo01,Joe Harris,BROOKLYN NETS,AWAY,NEW ORLEANS PELICANS,WIN,1949,10,16,3,6,1,2,0,2,2,1,0,0,3,18.2
cartewe01,Wendell Carter,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1550,6,8,1,2,4,6,2,7,0,3,0,1,3,17.3
washipj01,P.J. Washington,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,2118,10,18,6,10,0,0,1,2,0,1,0,2,2,16.9
capelca01,Clint Capela,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1618,7,12,0,0,0,0,6,13,0,0,2,0,3,16.7
wrighde01,Delon Wright,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1601,5,8,4,7,0,0,0,3,5,2,1,0,2,16.7
brownbr01,Bruce Brown,BROOKLYN NETS,AWAY,NEW ORLEANS PELICANS,WIN,1535,3,4,1,1,4,6,3,8,0,4,0,1,1,15.7
anthoco01,Cole Anthony,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1859,6,15,1,6,4,5,0,5,8,2,0,2,1,15.2
rosede01,Derrick Rose,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1515,8,12,1,4,0,0,0,1,5,0,0,0,1,15.2
shamela01,Landry Shamet,BROOKLYN NETS,AWAY,NEW ORLEANS PELICANS,WIN,1997,7,12,3,7,1,1,0,1,8,0,0,2,3,15.1
bullore01,Reggie Bullock,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,2257,5,12,5,12,1,1,1,3,4,1,1,1,1,14.3
randlju01,Julius Randle,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,2406,5,16,1,6,5,6,2,8,7,2,0,2,2,14.3
greenje02,Jeff Green,BROOKLYN NETS,AWAY,NEW ORLEANS PELICANS,WIN,1967,5,14,1,6,4,4,1,8,6,0,1,1,0,14.2
barrerj01,RJ Barrett,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,2379,8,17,6,11,2,2,0,1,0,0,1,2,3,13.1
collijo01,John Collins,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1512,4,9,0,2,3,4,5,10,2,0,1,1,1,13.1
metuch01,Chimezie Metu,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,999,8,12,0,0,0,0,4,0,1,0,0,0,3,13.1
griffbl01,Blake Griffin,BROOKLYN NETS,AWAY,NEW ORLEANS PELICANS,WIN,1665,6,13,1,5,3,3,4,4,3,0,1,1,6,12.7
marshna01,Naji Marshall,NEW ORLEANS PELICANS,HOME,BROOKLYN NETS,LOSS,2090,6,15,2,8,1,6,1,5,7,2,0,1,1,12.6
simonan01,Anfernee Simons,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,1138,4,8,3,6,2,3,0,1,1,3,0,0,0,12.6
powelno01,Norman Powell,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,2359,10,20,3,10,0,0,0,1,3,1,0,3,3,12.2
willilo02,Lou Williams,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1434,6,14,2,7,8,9,0,3,2,0,0,4,1,12.1
balllo01,Lonzo Ball,NEW ORLEANS PELICANS,HOME,BROOKLYN NETS,LOSS,1555,6,11,3,6,0,0,0,4,3,2,0,2,3,11.8
rondora01,Rajon Rondo,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1346,3,7,0,3,3,3,2,4,7,0,0,1,0,11.8
gibsota01,Taj Gibson,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1280,3,4,0,0,0,0,6,2,1,1,2,1,0,11.3
quickim01,Immanuel Quickley,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1184,5,9,4,7,3,3,0,1,1,0,0,2,1,11.3
kanteen01,Enes Kanter,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,1605,4,4,0,0,1,2,1,8,1,0,1,0,3,10.7
littlna01,Nassir Little,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,1454,3,7,1,3,0,0,4,6,3,0,1,0,0,10.7
reidna01,Naz Reid,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,826,3,5,0,0,4,4,1,3,1,0,1,0,0,10.7
huertke01,Kevin Huerter,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1855,6,14,3,8,0,1,0,2,2,3,0,0,5,10.2
morrima03,Marcus Morris,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1891,6,14,2,8,2,2,1,5,0,1,0,1,2,10.0
anthoca01,Carmelo Anthony,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,1674,5,18,3,9,5,6,2,1,4,0,0,1,2,9.7
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,2285,6,16,3,9,0,2,3,11,3,1,1,4,3,9.4
noelne01,Nerlens Noel,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1600,2,2,0,0,0,0,2,9,1,1,2,0,3,9.4
couside01,DeMarcus Cousins,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,791,4,6,1,1,2,2,3,3,1,0,0,2,2,9.3
jacksre01,Reggie Jackson,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1582,3,9,3,4,0,0,1,4,6,0,0,0,2,9.2
mcdanja02,Jaden McDaniels,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,1827,6,8,1,2,0,0,1,5,0,0,1,3,2,8.9
batumni01,Nicolas Batum,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1534,5,8,1,4,0,0,1,2,1,0,1,1,1,8.7
lewiski01,Kira Lewis,NEW ORLEANS PELICANS,HOME,BROOKLYN NETS,LOSS,1126,4,8,3,6,0,0,0,1,4,0,0,1,1,8.7
mclaujo01,Jordan McLaughlin,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,757,2,2,2,2,0,0,0,2,5,1,0,2,0,8.5
rubiori01,Ricky Rubio,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,1807,3,8,0,3,0,0,1,3,11,1,0,3,1,8.5
jordade01,DeAndre Jordan,BROOKLYN NETS,AWAY,NEW ORLEANS PELICANS,WIN,1288,3,3,0,0,2,4,1,5,1,1,0,1,2,8.4
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1658,5,17,2,4,2,3,2,2,6,2,0,3,2,8.1
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1664,5,9,0,0,0,2,2,4,2,0,2,1,3,8.1
holliro01,Rondae Hollis-Jefferson,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,1439,2,3,0,0,1,2,4,2,3,0,2,1,3,8.0
mcdanja01,Jalen McDaniels,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,2156,5,12,0,3,1,2,3,1,3,1,1,2,1,8.0
okogijo01,Josh Okogie,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,1436,4,8,0,3,2,2,2,1,1,0,1,0,3,7.9
halibty01,Tyrese Haliburton,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1536,2,10,2,6,1,1,1,0,9,1,0,1,0,7.8
whiteha01,Hassan Whiteside,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1431,6,9,0,0,0,0,2,5,0,0,0,2,3,7.8
harriga01,Gary Harris,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1620,4,8,1,3,5,7,0,0,0,0,0,1,2,7.4
grahade01,Devonte' Graham,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,1745,3,10,3,7,0,0,0,2,7,0,0,1,1,7.3
adamsst01,Steven Adams,NEW ORLEANS PELICANS,HOME,BROOKLYN NETS,LOSS,1769,3,5,0,0,1,2,0,5,1,0,2,0,3,6.7
martico01,Cody Martin,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,1457,2,4,0,0,0,0,3,3,3,1,0,1,1,6.7
frankro01,Robert Franks,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,912,2,6,1,3,2,2,1,2,0,1,1,0,0,6.6
goodwbr01,Brandon Goodwin,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,990,3,6,0,1,1,1,1,4,3,0,0,1,1,6.6
hieldbu01,Buddy Hield,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1773,3,11,3,11,2,2,0,4,2,1,1,2,2,6.0
randlch01,Chasson Randle,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1021,4,9,1,4,1,1,0,1,1,1,0,1,2,5.5
okekech01,Chuma Okeke,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,1968,3,10,0,5,0,0,0,5,2,3,0,0,2,5.3
martica02,Caleb Martin,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,1388,2,5,0,1,1,2,0,1,1,2,1,0,1,5.2
