Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (17244018),Russell Westbrook,17244018,PG/G/UTIL,11000,CLE@WAS 04/25/2021 07:00PM ET,WAS,56.57
PF/C,Giannis Antetokounmpo (17244021),Giannis Antetokounmpo,17244021,PF/C/F/UTIL,10700,MIL@ATL 04/25/2021 07:30PM ET,MIL,56.68
PG,Stephen Curry (17244025),Stephen Curry,17244025,PG/G/UTIL,10500,SAC@GS 04/25/2021 10:00PM ET,GS,50.61
PG,De'Aaron Fox (17244028),De'Aaron Fox,17244028,PG/G/UTIL,10000,SAC@GS 04/25/2021 10:00PM ET,SAC,43.95
SG/SF,Bradley Beal (17244031),Bradley Beal,17244031,SG/SF/F/G/UTIL,9800,CLE@WAS 04/25/2021 07:00PM ET,WAS,46.84
PG,Trae Young (17244036),Trae Young,17244036,PG/G/UTIL,9600,MIL@ATL 04/25/2021 07:30PM ET,ATL,46.43
PF/C,Domantas Sabonis (17244039),Domantas Sabonis,17244039,PF/C/F/UTIL,9300,IND@ORL 04/25/2021 08:00PM ET,IND,46.95
C,Clint Capela (17244043),Clint Capela,17244043,C/UTIL,9000,MIL@ATL 04/25/2021 07:30PM ET,ATL,41.77
PG,Malcolm Brogdon (17244045),Malcolm Brogdon,17244045,PG/G/UTIL,8700,IND@ORL 04/25/2021 08:00PM ET,IND,39.77
SG,Caris LeVert (17244048),Caris LeVert,17244048,SG/G/UTIL,8400,IND@ORL 04/25/2021 08:00PM ET,IND,35.24
PG/SG,Jrue Holiday (17244051),Jrue Holiday,17244051,PG/SG/G/UTIL,8200,MIL@ATL 04/25/2021 07:30PM ET,MIL,35.76
SG,Bogdan Bogdanovic (17244055),Bogdan Bogdanovic,17244055,SG/G/UTIL,8100,MIL@ATL 04/25/2021 07:30PM ET,ATL,27.33
SG/SF,Khris Middleton (17244058),Khris Middleton,17244058,SG/SF/F/G/UTIL,8000,MIL@ATL 04/25/2021 07:30PM ET,MIL,38.19
PG/SG,Collin Sexton (17244063),Collin Sexton,17244063,PG/SG/G/UTIL,7800,CLE@WAS 04/25/2021 07:00PM ET,CLE,36.43
SF/PF,Harrison Barnes (17244067),Harrison Barnes,17244067,SF/PF/F/UTIL,7800,SAC@GS 04/25/2021 10:00PM ET,SAC,31.57
PF/C,Draymond Green (17244071),Draymond Green,17244071,PF/C/F/UTIL,7500,SAC@GS 04/25/2021 10:00PM ET,GS,32.05
PF/C,John Collins (17244075),John Collins,17244075,PF/C/F/UTIL,7400,MIL@ATL 04/25/2021 07:30PM ET,ATL,32.95
SG/SF,Buddy Hield (17244079),Buddy Hield,17244079,SG/SF/F/G/UTIL,7300,SAC@GS 04/25/2021 10:00PM ET,SAC,30.54
PG,Darius Garland (17244084),Darius Garland,17244084,PG/G/UTIL,7200,CLE@WAS 04/25/2021 07:00PM ET,CLE,31.90
C,Jarrett Allen (17244087),Jarrett Allen,17244087,C/UTIL,7100,CLE@WAS 04/25/2021 07:00PM ET,CLE,31.53
SG/SF,Andrew Wiggins (17244089),Andrew Wiggins,17244089,SG/SF/F/G/UTIL,7000,SAC@GS 04/25/2021 10:00PM ET,GS,31.49
C,Wendell Carter Jr. (17244094),Wendell Carter Jr.,17244094,C/UTIL,7000,IND@ORL 04/25/2021 08:00PM ET,ORL,27.94
PF/C,Richaun Holmes (17244096),Richaun Holmes,17244096,PF/C/F/UTIL,6900,SAC@GS 04/25/2021 10:00PM ET,SAC,32.46
PG,Cole Anthony (17244100),Cole Anthony,17244100,PG/G/UTIL,6700,IND@ORL 04/25/2021 08:00PM ET,ORL,25.40
PF/C,Kevin Love (17244103),Kevin Love,17244103,PF/C/F/UTIL,6600,CLE@WAS 04/25/2021 07:00PM ET,CLE,25.28
SF/PF,Kelly Oubre Jr. (17244107),Kelly Oubre Jr.,17244107,SF/PF/F/UTIL,6500,SAC@GS 04/25/2021 10:00PM ET,GS,29.10
