slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
dortlu01,Luguentz Dort,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,LOSS,2194,16,31,7,11,3,7,2,5,3,4,0,2,3,30.9
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2282,10,17,4,7,8,10,1,8,5,1,1,3,2,27.8
georgpa01,Paul George,LOS ANGELES CLIPPERS,AWAY,INDIANA PACERS,WIN,2309,13,25,4,7,6,6,0,7,8,2,0,5,3,27.2
duranke01,Kevin Durant,BROOKLYN NETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1630,11,15,4,6,5,6,0,4,4,0,0,4,1,24.1
brogdma01,Malcolm Brogdon,INDIANA PACERS,HOME,LOS ANGELES CLIPPERS,LOSS,2167,12,18,3,8,2,2,2,3,4,0,0,2,3,23.1
siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,ATLANTA HAWKS,LOSS,2425,13,19,1,5,3,4,0,6,7,0,2,5,4,23.0
leverca01,Caris LeVert,INDIANA PACERS,HOME,LOS ANGELES CLIPPERS,LOSS,2173,7,18,1,8,11,13,1,5,6,2,3,2,4,22.3
capelca01,Clint Capela,ATLANTA HAWKS,AWAY,TORONTO RAPTORS,WIN,2090,7,11,0,0,5,8,5,16,1,0,1,1,0,21.6
morrima03,Marcus Morris,LOS ANGELES CLIPPERS,AWAY,INDIANA PACERS,WIN,1796,9,12,3,3,1,2,0,7,3,0,0,0,1,20.6
harrijo01,Joe Harris,BROOKLYN NETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1728,8,12,5,8,2,2,1,2,3,2,0,3,0,20.2
goberru01,Rudy Gobert,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,2039,6,7,0,0,1,2,5,9,1,1,7,2,2,20.1
aytonde01,Deandre Ayton,PHOENIX SUNS,HOME,MIAMI HEAT,WIN,1614,8,10,0,0,3,4,4,9,1,2,1,3,2,19.9
conlemi01,Mike Conley,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,2039,5,13,3,6,2,2,0,2,14,2,1,0,3,19.8
walkeke02,Kemba Walker,BOSTON CELTICS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2162,7,17,4,11,3,3,0,8,7,1,0,1,2,18.4
flynnma01,Malachi Flynn,TORONTO RAPTORS,HOME,ATLANTA HAWKS,LOSS,2123,8,18,6,13,0,0,1,4,3,2,0,0,1,18.2
anthoca01,Carmelo Anthony,PORTLAND TRAIL BLAZERS,HOME,BOSTON CELTICS,LOSS,1697,10,15,3,5,2,2,0,2,1,0,1,2,1,18.1
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,HOME,BROOKLYN NETS,LOSS,1992,8,22,2,11,9,12,1,7,2,1,1,1,2,17.7
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,BOSTON CELTICS,LOSS,2232,9,23,5,13,5,6,0,5,10,0,0,5,3,17.4
shamela01,Landry Shamet,BROOKLYN NETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1548,7,12,5,9,0,0,0,5,5,1,0,1,4,16.8
