slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,WIN,2267,14,21,5,10,8,9,2,4,4,0,0,4,2,32.1
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,DETROIT PISTONS,WIN,1606,13,16,0,0,1,2,2,6,11,1,1,1,3,31.0
willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,ATLANTA HAWKS,LOSS,2105,12,18,1,1,9,10,2,3,2,1,0,0,0,30.5
georgpa01,Paul George,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2040,11,18,6,9,8,8,1,2,5,1,1,3,3,30.1
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2175,10,18,1,4,8,9,1,11,7,0,0,1,2,27.1
butleji01,Jimmy Butler,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,LOSS,2079,11,16,1,2,5,6,1,2,5,2,0,1,1,26.2
youngtr01,Trae Young,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,1887,10,21,6,7,4,6,0,1,12,0,0,3,0,24.2
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,WIN,1968,9,19,1,5,16,20,3,3,1,0,1,4,1,23.7
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,LOSS,2000,9,14,0,0,0,3,2,8,10,3,0,0,2,23.6
powelno01,Norman Powell,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2245,8,18,2,7,14,15,2,2,1,0,0,1,1,23.5
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,INDIANA PACERS,WIN,2112,14,29,4,7,0,0,6,11,5,0,1,4,4,23.4
brookdi01,Dillon Brooks,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,WIN,1852,10,16,5,9,3,5,0,1,2,2,0,0,3,22.5
grantje01,Jerami Grant,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,1794,11,18,3,5,4,6,2,3,4,0,1,4,1,21.4
bartowi01,Will Barton,DENVER NUGGETS,HOME,DETROIT PISTONS,WIN,2181,10,16,3,6,1,1,2,4,4,2,0,2,3,21.0
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2244,9,15,2,4,4,5,0,3,6,2,0,1,5,20.8
jacksre01,Reggie Jackson,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1534,8,12,4,6,3,3,0,3,2,1,1,0,4,20.2
siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,2451,7,21,0,6,13,15,4,3,2,2,1,1,3,19.9
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2242,10,19,2,4,6,6,0,2,7,1,0,5,1,19.8
anderky01,Kyle Anderson,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,WIN,1807,7,11,3,6,2,3,2,6,6,1,0,2,1,19.7
portemi01,Michael Porter,DENVER NUGGETS,HOME,DETROIT PISTONS,WIN,1731,11,16,3,4,0,0,2,5,0,0,0,1,1,19.7
valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,WIN,1638,7,9,1,1,5,5,2,8,0,1,0,2,2,18.5
beysa01,Saddiq Bey,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,1426,9,15,6,12,1,1,0,0,1,0,0,0,2,18.0
bogdabo01,Bogdan Bogdanović,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,1788,8,11,5,8,0,0,0,4,4,0,0,2,2,17.7
holidjr01,Jrue Holiday,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2039,11,18,4,7,3,3,2,1,5,1,0,8,4,17.4
balllo01,Lonzo Ball,NEW ORLEANS PELICANS,AWAY,ATLANTA HAWKS,LOSS,1770,4,15,4,14,0,0,2,7,11,3,2,1,1,17.3
lambje01,Jeremy Lamb,INDIANA PACERS,HOME,CHICAGO BULLS,LOSS,1393,4,12,2,6,5,5,2,4,1,6,1,1,2,16.4
leverca01,Caris LeVert,INDIANA PACERS,HOME,CHICAGO BULLS,LOSS,1951,9,18,2,4,0,0,0,6,5,0,1,0,3,15.8
greenda02,Danny Green,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,WIN,1444,6,7,5,6,0,0,0,2,1,2,0,1,3,15.6
bazemke01,Kent Bazemore,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,WIN,1566,6,10,4,4,2,2,0,1,2,2,0,1,2,15.3
markkla01,Lauri Markkanen,CHICAGO BULLS,AWAY,INDIANA PACERS,WIN,1292,5,7,3,4,2,2,1,5,0,1,1,1,0,15.0
capelca01,Clint Capela,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,1699,5,7,0,0,2,4,5,7,1,0,3,1,3,14.5
covinro01,Robert Covington,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2138,6,13,2,7,1,2,3,6,2,2,1,1,2,14.1
herroty01,Tyler Herro,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,LOSS,1636,7,10,4,7,1,2,0,2,4,0,1,4,1,14.1
kanteen01,Enes Kanter,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2148,5,8,0,0,3,4,5,10,1,0,2,2,4,14.0
caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,WIN,1541,4,5,2,2,3,3,0,3,3,0,0,0,1,13.7
hortota01,Talen Horton-Tucker,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,WIN,1532,6,10,3,4,2,3,0,4,6,1,0,4,2,13.6
banede01,Desmond Bane,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,WIN,1329,6,12,3,6,0,0,0,3,3,2,1,1,1,13.3
teaguje01,Jeff Teague,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,LOSS,935,5,7,2,2,3,3,0,1,3,0,0,0,3,13.3
huertke01,Kevin Huerter,ATLANTA HAWKS,HOME,NEW ORLEANS PELICANS,WIN,1474,7,11,3,4,0,0,0,3,2,0,0,0,3,13.2
bouchch01,Chris Boucher,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,1952,7,16,1,6,4,5,2,6,1,1,0,0,5,13.1
lavinza01,Zach LaVine,CHICAGO BULLS,AWAY,INDIANA PACERS,WIN,2157,6,18,4,12,3,4,1,7,6,0,1,3,0,13.1
youngth01,Thaddeus Young,CHICAGO BULLS,AWAY,INDIANA PACERS,WIN,1674,6,10,0,0,2,4,2,5,5,1,1,3,2,12.9
schrode01,Dennis Schröder,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,WIN,1634,3,7,2,2,4,4,1,1,9,2,0,4,2,12.8
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,WIN,2185,4,7,0,0,4,8,0,4,6,3,0,2,2,12.7
wisemja01,James Wiseman,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,WIN,1519,6,13,0,1,1,1,3,7,2,0,1,0,0,12.6
portibo01,Bobby Portis,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1696,5,10,2,3,1,2,0,13,0,1,0,0,0,12.5
tatumja01,Jayson Tatum,BOSTON CELTICS,HOME,PHILADELPHIA 76ERS,LOSS,2108,7,17,3,10,3,3,0,4,4,1,0,3,1,12.5
gasolma01,Marc Gasol,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,WIN,1660,6,9,1,3,0,2,3,6,5,0,4,5,3,12.3
bembrde01,DeAndre' Bembry,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,1913,5,10,0,3,2,4,2,3,3,5,0,3,1,12.2
morrima02,Markieff Morris,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,WIN,1445,6,13,3,8,0,0,3,6,1,1,0,0,5,11.9
oubreke01,Kelly Oubre,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,WIN,2226,6,14,4,8,3,4,1,5,1,2,0,3,3,11.9
whiteco01,Coby White,CHICAGO BULLS,AWAY,INDIANA PACERS,WIN,1884,5,9,1,4,2,2,0,3,6,0,0,1,3,11.6
tillmxa01,Xavier Tillman,MEMPHIS GRIZZLIES,AWAY,MIAMI HEAT,WIN,1242,5,7,1,1,0,0,2,4,0,1,0,0,1,11.3
