slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
tatumja01,Jayson Tatum,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,2460,16,25,6,10,15,16,1,9,4,0,1,5,3,42.2
lavinza01,Zach LaVine,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,2324,18,31,7,12,7,8,1,7,5,0,0,3,1,38.0
youngtr01,Trae Young,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,2276,15,25,1,6,11,14,0,8,9,0,0,4,1,33.6
willizi01,Zion Williamson,NEW ORLEANS PELICANS,HOME,PHILADELPHIA 76ERS,WIN,2116,15,28,0,1,7,11,3,12,8,0,0,2,2,30.3
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,2302,9,17,2,2,6,6,5,8,14,1,0,6,4,26.8
jacksre01,Reggie Jackson,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1804,10,14,6,9,0,1,0,4,7,2,0,0,4,26.3
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1960,11,20,3,6,6,7,0,5,8,1,0,2,2,26.3
smartma01,Marcus Smart,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,2465,7,12,4,8,6,7,2,4,8,2,0,2,3,25.0
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,WIN,2240,8,13,4,8,6,6,2,5,4,0,2,2,1,24.8
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,2195,8,14,0,0,8,8,1,2,12,1,0,3,3,23.9
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,WASHINGTON WIZARDS,LOSS,2092,11,25,5,12,5,6,0,6,5,2,0,2,0,23.8
whitede01,Derrick White,SAN ANTONIO SPURS,AWAY,DENVER NUGGETS,LOSS,2053,9,16,3,7,4,5,0,1,3,3,1,0,2,22.3
valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,AWAY,NEW YORK KNICKS,LOSS,2145,8,11,1,1,3,4,3,11,2,1,3,2,2,22.2
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,2522,10,22,4,9,6,6,2,10,7,1,0,6,3,21.7
mannte01,Terance Mann,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,2136,7,8,2,2,0,0,1,2,9,2,1,0,5,21.5
capelca01,Clint Capela,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,2225,10,12,0,0,2,3,0,10,1,0,2,1,1,20.9
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,2426,7,12,2,6,8,8,1,4,5,1,0,3,3,20.6
russeda01,D'Angelo Russell,MINNESOTA TIMBERWOLVES,AWAY,BOSTON CELTICS,LOSS,1728,10,18,3,9,3,4,0,4,8,0,0,2,3,20.6
mcdanja01,Jalen McDaniels,CHARLOTTE HORNETS,AWAY,MILWAUKEE BUCKS,WIN,1865,7,11,2,3,3,4,3,3,5,1,2,1,3,20.4
nworajo01,Jordan Nwora,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,LOSS,1929,9,16,4,10,2,2,0,6,2,1,0,0,1,20.2
oubreke01,Kelly Oubre,GOLDEN STATE WARRIORS,HOME,WASHINGTON WIZARDS,LOSS,2196,8,13,4,8,3,3,0,6,2,1,0,1,1,19.9
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,2181,11,19,3,5,0,0,3,7,2,1,0,3,0,19.7
brownja02,Jaylen Brown,BOSTON CELTICS,HOME,MINNESOTA TIMBERWOLVES,WIN,2649,9,15,4,9,4,4,1,4,3,2,2,5,5,19.5
teaguje01,Jeff Teague,MILWAUKEE BUCKS,HOME,CHARLOTTE HORNETS,LOSS,1681,8,11,1,2,2,3,0,2,6,1,0,0,1,19.5
westbru01,Russell Westbrook,WASHINGTON WIZARDS,AWAY,GOLDEN STATE WARRIORS,WIN,2243,8,17,1,4,2,3,2,12,14,1,0,6,1,19.3
