Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (17112799),Russell Westbrook,17112799,PG/G/UTIL,10900,DET@WAS 04/17/2021 08:00PM ET,WAS,56.12
PF/C,Giannis Antetokounmpo (17112802),Giannis Antetokounmpo,17112802,PF/C/F/UTIL,10600,MEM@MIL 04/17/2021 09:00PM ET,MIL,56.78
PG,Stephen Curry (17112806),Stephen Curry,17112806,PG/G/UTIL,10300,GS@BOS 04/17/2021 08:30PM ET,GS,50.42
C,Nikola Vucevic (17112809),Nikola Vucevic,17112809,C/UTIL,9800,CLE@CHI 04/17/2021 08:00PM ET,CHI,48.83
PF,Jayson Tatum (17112811),Jayson Tatum,17112811,PF/F/UTIL,9500,GS@BOS 04/17/2021 08:30PM ET,BOS,44.59
SG,Zach LaVine (17112814),Zach LaVine,17112814,SG/G/UTIL,9000,CLE@CHI 04/17/2021 08:00PM ET,CHI,44.11
SG,Devin Booker (17112817),Devin Booker,17112817,SG/G/UTIL,8800,SA@PHO 04/17/2021 10:00PM ET,PHO,39.33
SG,Bradley Beal (17112820),Bradley Beal,17112820,SG/G/UTIL,8700,DET@WAS 04/17/2021 08:00PM ET,WAS,46.65
PG/SG,Jrue Holiday (17112823),Jrue Holiday,17112823,PG/SG/G/UTIL,8600,MEM@MIL 04/17/2021 09:00PM ET,MIL,35.47
SG/SF,Khris Middleton (17112827),Khris Middleton,17112827,SG/SF/F/G/UTIL,8400,MEM@MIL 04/17/2021 09:00PM ET,MIL,38.57
SG/SF,Jaylen Brown (17112832),Jaylen Brown,17112832,SG/SF/F/G/UTIL,8300,GS@BOS 04/17/2021 08:30PM ET,BOS,40.73
PG,Chris Paul (17112837),Chris Paul,17112837,PG/G/UTIL,8000,SA@PHO 04/17/2021 10:00PM ET,PHO,38.16
C,Jonas Valanciunas (17112840),Jonas Valanciunas,17112840,C/UTIL,7900,MEM@MIL 04/17/2021 09:00PM ET,MEM,38.68
SF,DeMar DeRozan (17112842),DeMar DeRozan,17112842,SF/F/UTIL,7800,SA@PHO 04/17/2021 10:00PM ET,SA,39.35
C,Jarrett Allen (17112845),Jarrett Allen,17112845,C/UTIL,7600,CLE@CHI 04/17/2021 08:00PM ET,CLE,32.32
PG/SG,Collin Sexton (17112847),Collin Sexton,17112847,PG/SG/G/UTIL,7500,CLE@CHI 04/17/2021 08:00PM ET,CLE,35.94
PF/C,Draymond Green (17112851),Draymond Green,17112851,PF/C/F/UTIL,7300,GS@BOS 04/17/2021 08:30PM ET,GS,31.97
PG,Dejounte Murray (17112855),Dejounte Murray,17112855,PG/G/UTIL,7100,SA@PHO 04/17/2021 10:00PM ET,SA,35.86
SG/SF,Andrew Wiggins (17112858),Andrew Wiggins,17112858,SG/SF/F/G/UTIL,7000,GS@BOS 04/17/2021 08:30PM ET,GS,31.46
PG,Ja Morant (17112863),Ja Morant,17112863,PG/G/UTIL,7000,MEM@MIL 04/17/2021 09:00PM ET,MEM,35.54
PG,Kemba Walker (17112866),Kemba Walker,17112866,PG/G/UTIL,6900,GS@BOS 04/17/2021 08:30PM ET,BOS,33
C,Deandre Ayton (17112869),Deandre Ayton,17112869,C/UTIL,6800,SA@PHO 04/17/2021 10:00PM ET,PHO,34.13
C,Jaren Jackson Jr. (17112871),Jaren Jackson Jr.,17112871,C/UTIL,6700,MEM@MIL 04/17/2021 09:00PM ET,MEM,0
PG,Darius Garland (17112873),Darius Garland,17112873,PG/G/UTIL,6700,CLE@CHI 04/17/2021 08:00PM ET,CLE,30.99
PF/C,Larry Nance Jr. (17112876),Larry Nance Jr.,17112876,PF/C/F/UTIL,6700,CLE@CHI 04/17/2021 08:00PM ET,CLE,27.63
PF/C,Bobby Portis (17112880),Bobby Portis,17112880,PF/C/F/UTIL,6600,MEM@MIL 04/17/2021 09:00PM ET,MIL,24.94
PF,Jerami Grant (17112892),Jerami Grant,17112892,PF/F/UTIL,6500,DET@WAS 04/17/2021 08:00PM ET,DET,36.61
PF/C,Kevin Love (17112884),Kevin Love,17112884,PF/C/F/UTIL,6500,CLE@CHI 04/17/2021 08:00PM ET,CLE,23.90
PG/SG,Derrick White (17112888),Derrick White,17112888,PG/SG/G/UTIL,6500,SA@PHO 04/17/2021 10:00PM ET,SA,27.22
PG/SG,Marcus Smart (17112895),Marcus Smart,17112895,PG/SG/G/UTIL,6300,GS@BOS 04/17/2021 08:30PM ET,BOS,29.89
C,Jakob Poeltl (17112899),Jakob Poeltl,17112899,C/UTIL,6200,SA@PHO 04/17/2021 10:00PM ET,SA,25.14
SF/PF,Kelly Oubre Jr. (17112901),Kelly Oubre Jr.,17112901,SF/PF/F/UTIL,6000,GS@BOS 04/17/2021 08:30PM ET,GS,28.92
PF,Kyle Anderson (17112905),Kyle Anderson,17112905,PF/F/UTIL,5900,MEM@MIL 04/17/2021 09:00PM ET,MEM,29.29
PG/SG,Donte DiVincenzo (17112908),Donte DiVincenzo,17112908,PG/SG/G/UTIL,5900,MEM@MIL 04/17/2021 09:00PM ET,MIL,25.37
C,Robert Williams (17112912),Robert Williams,17112912,C/UTIL,5800,GS@BOS 04/17/2021 08:30PM ET,BOS,24.41
