Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (17028427),Russell Westbrook,17028427,PG/G/UTIL,11000,WAS@UTA 04/12/2021 09:00PM ET,WAS,55.26
PG/SF,Luka Doncic (17028430),Luka Doncic,17028430,PG/SF/F/G/UTIL,10700,PHI@DAL 04/12/2021 07:30PM ET,DAL,55.18
PG,James Harden (17028435),James Harden,17028435,PG/G/UTIL,10600,BKN@MIN 04/12/2021 08:00PM ET,BKN,56.62
C,Karl-Anthony Towns (17028438),Karl-Anthony Towns,17028438,C/UTIL,10500,BKN@MIN 04/12/2021 08:00PM ET,MIN,50.92
C,Nikola Jokic (17028440),Nikola Jokic,17028440,C/UTIL,10400,DEN@GS 04/12/2021 10:00PM ET,DEN,58.43
PG,Stephen Curry (17028442),Stephen Curry,17028442,PG/G/UTIL,10300,DEN@GS 04/12/2021 10:00PM ET,GS,49.62
C,Joel Embiid (17028445),Joel Embiid,17028445,C/UTIL,10100,PHI@DAL 04/12/2021 07:30PM ET,PHI,52.86
PG/SG,Kyrie Irving (17028447),Kyrie Irving,17028447,PG/SG/G/UTIL,9800,BKN@MIN 04/12/2021 08:00PM ET,BKN,46.68
PF/C,Zion Williamson (17028451),Zion Williamson,17028451,PF/C/F/UTIL,9700,SAC@NO 04/12/2021 09:00PM ET,NO,43.57
PF,Julius Randle (17028455),Julius Randle,17028455,PF/F/UTIL,9600,LAL@NY 04/12/2021 07:30PM ET,NY,47.98
PG,LeBron James (17028458),LeBron James,17028458,PG/G/UTIL,9500,LAL@NY 04/12/2021 07:30PM ET,LAL,50.71
PG,De'Aaron Fox (17028461),De'Aaron Fox,17028461,PG/G/UTIL,9300,SAC@NO 04/12/2021 09:00PM ET,SAC,43.10
PG/SG,Donovan Mitchell (17028464),Donovan Mitchell,17028464,PG/SG/G/UTIL,9200,WAS@UTA 04/12/2021 09:00PM ET,UTA,42.8
C,Nikola Vucevic (17028468),Nikola Vucevic,17028468,C/UTIL,9100,CHI@MEM 04/12/2021 09:00PM ET,CHI,48.69
SG,Devin Booker (17028470),Devin Booker,17028470,SG/G/UTIL,9000,HOU@PHO 04/12/2021 10:00PM ET,PHO,39.72
PF,Kevin Durant (17028473),Kevin Durant,17028473,PF/F/UTIL,9000,BKN@MIN 04/12/2021 08:00PM ET,BKN,48.82
PF/C,Kristaps Porzingis (17028479),Kristaps Porzingis,17028479,PF/C/F/UTIL,8900,PHI@DAL 04/12/2021 07:30PM ET,DAL,39.99
SG,Bradley Beal (17028476),Bradley Beal,17028476,SG/G/UTIL,8900,WAS@UTA 04/12/2021 09:00PM ET,WAS,46.85
C,Anthony Davis (17028483),Anthony Davis,17028483,C/UTIL,8800,LAL@NY 04/12/2021 07:30PM ET,LAL,43.75
SG,Zach LaVine (17028485),Zach LaVine,17028485,SG/G/UTIL,8700,CHI@MEM 04/12/2021 09:00PM ET,CHI,43.96
SF,Brandon Ingram (17028488),Brandon Ingram,17028488,SF/F/UTIL,8500,SAC@NO 04/12/2021 09:00PM ET,NO,39.86
PG,Chris Paul (17028491),Chris Paul,17028491,PG/G/UTIL,8400,HOU@PHO 04/12/2021 10:00PM ET,PHO,38.40
PG,Ben Simmons (17028494),Ben Simmons,17028494,PG/G/UTIL,8200,PHI@DAL 04/12/2021 07:30PM ET,PHI,38.72
PG,John Wall (17028497),John Wall,17028497,PG/G/UTIL,8000,HOU@PHO 04/12/2021 10:00PM ET,HOU,38.67
SF/PF,Tobias Harris (17028506),Tobias Harris,17028506,SF/PF/F/UTIL,7900,PHI@DAL 04/12/2021 07:30PM ET,PHI,38.76
C,Rudy Gobert (17028500),Rudy Gobert,17028500,C/UTIL,7900,WAS@UTA 04/12/2021 09:00PM ET,UTA,40.10
PF/C,Christian Wood (17028502),Christian Wood,17028502,PF/C/F/UTIL,7900,HOU@PHO 04/12/2021 10:00PM ET,HOU,39.62
SF,DeMar DeRozan (17028510),DeMar DeRozan,17028510,SF/F/UTIL,7800,SA@ORL 04/12/2021 08:00PM ET,SA,39.24
PG,Jamal Murray (17028513),Jamal Murray,17028513,PG/G/UTIL,7600,DEN@GS 04/12/2021 10:00PM ET,DEN,36.99
PG,Lonzo Ball (17028516),Lonzo Ball,17028516,PG/G/UTIL,7600,SAC@NO 04/12/2021 09:00PM ET,NO,32.77
PG/SF,Anthony Edwards (17028519),Anthony Edwards,17028519,PG/SF/F/G/UTIL,7500,BKN@MIN 04/12/2021 08:00PM ET,MIN,30.38
C,Jonas Valanciunas (17028524),Jonas Valanciunas,17028524,C/UTIL,7300,CHI@MEM 04/12/2021 09:00PM ET,MEM,38.41
PF/C,Richaun Holmes (17028526),Richaun Holmes,17028526,PF/C/F/UTIL,7300,SAC@NO 04/12/2021 09:00PM ET,SAC,33.00
PG,Dejounte Murray (17028530),Dejounte Murray,17028530,PG/G/UTIL,7100,SA@ORL 04/12/2021 08:00PM ET,SA,35.71
SF/PF,Michael Porter Jr. (17028533),Michael Porter Jr.,17028533,SF/PF/F/UTIL,7000,DEN@GS 04/12/2021 10:00PM ET,DEN,32.60
SG/SF,Andrew Wiggins (17028537),Andrew Wiggins,17028537,SG/SF/F/G/UTIL,7000,DEN@GS 04/12/2021 10:00PM ET,GS,31.58
SF/PF,Kyle Kuzma (17028542),Kyle Kuzma,17028542,SF/PF/F/UTIL,7000,LAL@NY 04/12/2021 07:30PM ET,LAL,25.99
PG,Mike Conley (17028546),Mike Conley,17028546,PG/G/UTIL,6900,WAS@UTA 04/12/2021 09:00PM ET,UTA,32.42
C,Deandre Ayton (17028549),Deandre Ayton,17028549,C/UTIL,6900,HOU@PHO 04/12/2021 10:00PM ET,PHO,33.79
C,Andre Drummond (17028551),Andre Drummond,17028551,C/UTIL,6800,LAL@NY 04/12/2021 07:30PM ET,LAL,41.56
PG,Ja Morant (17028553),Ja Morant,17028553,PG/G/UTIL,6800,CHI@MEM 04/12/2021 09:00PM ET,MEM,35.87
PF/C,Draymond Green (17028556),Draymond Green,17028556,PF/C/F/UTIL,6700,DEN@GS 04/12/2021 10:00PM ET,GS,30.97
PG,Dennis Schroder (17028560),Dennis Schroder,17028560,PG/G/UTIL,6700,LAL@NY 04/12/2021 07:30PM ET,LAL,29.62
SG/SF,Terrence Ross (17028565),Terrence Ross,17028565,SG/SF/F/G/UTIL,6600,SA@ORL 04/12/2021 08:00PM ET,ORL,27.25
C,Jaren Jackson Jr. (17028563),Jaren Jackson Jr.,17028563,C/UTIL,6600,CHI@MEM 04/12/2021 09:00PM ET,MEM,0
C,Kelly Olynyk (17028573),Kelly Olynyk,17028573,C/UTIL,6600,HOU@PHO 04/12/2021 10:00PM ET,HOU,26.10
SG,D'Angelo Russell (17028570),D'Angelo Russell,17028570,SG/G/UTIL,6600,BKN@MIN 04/12/2021 08:00PM ET,MIN,34
PG/SG,Derrick White (17028575),Derrick White,17028575,PG/SG/G/UTIL,6500,SA@ORL 04/12/2021 08:00PM ET,SA,26.96
PG/SG,Kevin Porter Jr. (17028579),Kevin Porter Jr.,17028579,PG/SG/G/UTIL,6500,HOU@PHO 04/12/2021 10:00PM ET,HOU,30.78
SF,RJ Barrett (17028583),RJ Barrett,17028583,SF/F/UTIL,6400,LAL@NY 04/12/2021 07:30PM ET,NY,31.15
SG,Eric Bledsoe (17028590),Eric Bledsoe,17028590,SG/G/UTIL,6400,SAC@NO 04/12/2021 09:00PM ET,NO,24.14
SF/PF,Jae'Sean Tate (17028586),Jae'Sean Tate,17028586,SF/PF/F/UTIL,6400,HOU@PHO 04/12/2021 10:00PM ET,HOU,23.83
PF,Rui Hachimura (17028596),Rui Hachimura,17028596,PF/F/UTIL,6300,WAS@UTA 04/12/2021 09:00PM ET,WAS,25.29
