slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
irvinky01,Kyrie Irving,BROOKLYN NETS,HOME,PHOENIX SUNS,WIN,2121,10,19,5,7,9,9,1,5,12,0,0,3,1,31.9
allenja01,Jarrett Allen,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,2060,10,12,0,0,7,9,7,5,2,2,3,3,1,30.3
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,2121,11,17,1,3,8,10,0,14,4,1,2,2,3,28.9
duranke01,Kevin Durant,BROOKLYN NETS,HOME,PHOENIX SUNS,WIN,1694,12,21,2,3,7,8,0,6,4,2,1,1,1,28.6
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,2267,11,21,7,14,8,11,0,7,4,1,1,7,1,24.7
washipj01,P.J. Washington,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,WIN,2316,8,12,4,6,2,3,4,8,5,1,1,1,3,24.6
bogdabo01,Bogdan Bogdanović,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,2203,12,21,6,11,2,3,0,1,3,3,0,2,2,24.3
aytonde01,Deandre Ayton,PHOENIX SUNS,AWAY,BROOKLYN NETS,LOSS,1964,9,12,0,0,2,4,8,5,3,2,0,0,5,23.6
bealbr01,Bradley Beal,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,WIN,2315,13,24,2,4,5,6,3,3,3,1,0,2,4,23.5
holidjr01,Jrue Holiday,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,2091,8,11,0,1,3,5,0,5,11,2,0,1,2,23.1
bookede01,Devin Booker,PHOENIX SUNS,AWAY,BROOKLYN NETS,LOSS,2246,12,24,4,5,8,9,0,3,1,0,1,3,1,22.5
hieldbu01,Buddy Hield,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,2195,9,13,6,8,1,1,1,5,3,1,0,1,5,21.8
brogdma01,Malcolm Brogdon,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1772,10,17,3,7,1,1,0,8,9,0,1,3,2,21.7
grahade01,Devonte' Graham,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,WIN,1901,7,14,6,11,4,4,1,1,9,0,0,2,3,21.1
moranja01,Ja Morant,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1824,8,15,3,4,9,12,0,8,3,2,0,4,3,20.8
halibty01,Tyrese Haliburton,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,2249,10,20,2,7,2,2,1,2,8,1,0,1,1,20.5
craigto01,Torrey Craig,PHOENIX SUNS,AWAY,BROOKLYN NETS,LOSS,1907,6,9,2,4,6,6,4,10,0,0,1,1,3,20.4
nurkiju01,Jusuf Nurkić,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,1761,6,13,0,0,4,5,4,15,5,1,2,2,1,19.7
garlada01,Darius Garland,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,2381,9,20,4,8,6,6,0,4,9,1,0,6,2,19.3
bambamo01,Mohamed Bamba,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,1493,6,9,2,4,3,4,2,5,2,2,1,0,2,18.9
roziete01,Terry Rozier,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,WIN,1959,8,18,5,9,0,0,1,4,11,1,1,2,5,18.9
valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1812,9,17,3,4,0,0,1,9,2,2,0,0,2,18.7
gaffoda01,Daniel Gafford,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,WIN,1605,5,7,0,0,2,3,1,5,2,4,4,0,2,18.3
walkeke02,Kemba Walker,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,LOSS,1769,7,17,3,9,3,5,2,4,4,2,0,0,1,17.1
holidju01,Justin Holiday,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1650,7,11,6,8,0,0,2,5,2,0,0,2,1,17.0
leverca01,Caris LeVert,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1772,7,14,1,2,3,3,0,3,6,1,0,0,1,16.7
martico01,Cody Martin,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,WIN,1861,5,9,1,2,2,2,1,9,5,1,2,1,1,16.6
greendr01,Draymond Green,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,2204,4,6,0,1,0,0,1,13,13,1,1,4,2,16.0
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,2037,9,18,3,5,2,2,3,3,2,1,0,3,1,16.0
sumneed01,Edmond Sumner,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,2192,7,13,0,3,7,8,1,6,2,1,0,2,3,16.0
barneha02,Harrison Barnes,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,2418,8,16,5,9,2,2,0,7,2,0,1,3,1,15.8
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,WIN,2032,7,14,4,8,2,2,0,6,3,0,1,1,2,15.8
bacondw01,Dwayne Bacon,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,1918,6,15,1,3,7,8,2,3,1,2,0,0,2,15.7
griffbl01,Blake Griffin,BROOKLYN NETS,HOME,PHOENIX SUNS,WIN,1599,6,9,2,3,2,3,2,3,4,1,1,1,5,15.5
anderky01,Kyle Anderson,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1540,6,8,2,2,2,2,2,4,2,1,0,2,2,15.0
collijo01,John Collins,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1862,7,12,1,3,3,4,0,5,2,1,1,1,2,14.8
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,LOSS,1821,5,11,3,7,4,4,1,0,4,1,1,1,2,14.7
mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,2250,10,21,4,10,3,3,2,0,3,0,0,4,3,14.6
lopezro01,Robin Lopez,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,WIN,655,5,5,0,0,4,4,2,3,1,0,0,1,0,14.5
osmande01,Cedi Osman,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,2233,7,12,3,6,2,2,0,2,5,1,0,2,5,14.5
huertke01,Kevin Huerter,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1752,9,14,1,5,1,2,0,2,3,1,0,2,3,13.9
mcderdo01,Doug McDermott,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1217,7,10,2,3,0,0,2,2,0,0,0,0,2,13.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,2191,8,27,4,10,3,3,2,4,5,1,1,1,3,12.9
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,2264,6,15,1,2,0,0,4,2,6,2,0,1,2,12.7
brookdi01,Dillon Brooks,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1803,5,16,2,5,6,7,1,7,0,1,2,0,3,12.4
oubreke01,Kelly Oubre,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1868,8,17,1,7,2,2,4,3,0,0,0,1,2,12.2
anthoco01,Cole Anthony,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,1746,5,14,1,3,3,4,1,6,7,0,1,1,2,12.1
westbru01,Russell Westbrook,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,WIN,2143,5,13,0,2,4,7,0,5,11,2,0,4,2,12.1
gallida01,Danilo Gallinari,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1257,3,8,1,3,8,8,0,3,2,0,0,0,3,11.7
powelno01,Norman Powell,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,2081,7,15,0,3,3,4,2,3,4,3,0,3,6,11.6
brissos01,Oshae Brissett,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1840,3,7,2,5,5,5,0,8,1,0,0,0,3,11.2
frankro01,Robert Franks,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,1090,4,8,1,3,2,2,3,2,1,1,0,0,1,11.0
okekech01,Chuma Okeke,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,1770,5,12,2,5,0,0,1,2,3,3,0,1,0,11.0
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,LOSS,1935,6,16,1,5,6,7,4,7,2,1,0,5,3,10.9
wrighde01,Delon Wright,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1625,2,5,0,2,3,4,2,4,5,2,0,0,3,10.8
brownja02,Jaylen Brown,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,LOSS,2090,8,22,2,7,2,2,1,7,2,2,0,3,1,10.6
netora01,Raul Neto,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,WIN,1698,4,10,2,3,4,4,0,1,1,1,0,0,0,10.6
jordade01,DeAndre Jordan,BROOKLYN NETS,HOME,PHOENIX SUNS,WIN,1281,3,4,0,0,0,0,5,7,1,0,1,1,0,10.4
holmeri01,Richaun Holmes,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,1334,4,6,0,0,3,6,2,3,0,0,1,0,0,10.2
kanteen01,Enes Kanter,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,842,2,3,0,0,3,4,1,4,0,2,1,0,0,9.9
cartewe01,Wendell Carter,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,1244,4,10,1,1,1,2,4,9,1,0,1,1,2,9.3
hamptrj01,R.J. Hampton,ORLANDO MAGIC,HOME,INDIANA PACERS,LOSS,1738,5,10,2,4,2,2,0,2,2,0,0,1,2,9.2
clarkbr01,Brandon Clarke,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1340,4,6,0,0,2,2,0,4,1,0,1,1,0,9.0
capelca01,Clint Capela,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,2061,2,6,0,0,2,2,3,11,1,1,0,0,2,8.9
loveke01,Kevin Love,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,1651,5,9,2,3,0,0,0,5,1,1,0,2,0,8.9
willigr01,Grant Williams,BOSTON CELTICS,AWAY,CHARLOTTE HORNETS,LOSS,1129,3,4,3,4,0,0,2,1,2,0,0,0,4,8.9
willilo02,Lou Williams,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,WIN,1558,5,12,4,7,1,2,0,3,6,0,0,4,2,8.5
greenje02,Jeff Green,BROOKLYN NETS,HOME,PHOENIX SUNS,WIN,2020,5,11,0,3,0,0,1,4,3,1,1,0,4,8.4
smithis01,Ish Smith,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,WIN,1107,3,8,2,4,0,0,2,1,4,1,2,1,3,8.3
toscaju01,Juan Toscano-Anderson,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1867,5,8,0,2,0,0,1,3,5,0,0,2,3,8.3
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,1723,4,9,1,4,2,3,0,1,0,0,3,0,1,7.9
simonan01,Anfernee Simons,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,772,2,3,2,2,2,2,1,1,1,0,0,1,0,7.4
paulch01,Chris Paul,PHOENIX SUNS,AWAY,BROOKLYN NETS,LOSS,1981,5,11,2,5,2,2,0,4,8,0,0,6,5,7.1
mathega01,Garrison Mathews,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,WIN,1366,2,5,2,5,2,2,2,1,0,2,0,0,5,7.0
muldemy01,Mychal Mulder,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,846,4,8,3,6,0,0,0,0,0,0,0,0,0,7.0
anthoca01,Carmelo Anthony,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,1164,4,13,4,8,0,0,0,3,0,2,0,0,2,6.6
johnsty01,Tyler Johnson,BROOKLYN NETS,HOME,PHOENIX SUNS,WIN,952,3,5,2,4,0,0,0,1,2,0,0,1,0,6.4
paytoga02,Gary Payton,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,330,3,3,1,1,0,0,0,1,0,0,0,0,0,6.4
wanambr01,Brad Wanamaker,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,WIN,1457,6,12,0,2,0,0,0,2,1,2,0,1,5,6.3
biyombi01,Bismack Biyombo,CHARLOTTE HORNETS,HOME,BOSTON CELTICS,WIN,1305,2,3,0,0,0,0,3,4,3,0,1,2,2,6.0
bridgmi01,Mikal Bridges,PHOENIX SUNS,AWAY,BROOKLYN NETS,LOSS,2057,3,7,0,4,1,2,2,1,3,0,0,0,2,5.9
johnsca02,Cameron Johnson,PHOENIX SUNS,AWAY,BROOKLYN NETS,LOSS,1995,4,10,1,5,0,0,0,2,1,1,0,0,0,5.9
meltode01,De'Anthony Melton,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1285,2,7,2,3,2,2,1,2,6,0,1,3,3,5.9
sampsja02,JaKarr Sampson,INDIANA PACERS,AWAY,ORLANDO MAGIC,WIN,1631,5,8,1,2,0,1,0,5,0,0,2,2,5,5.9
looneke01,Kevon Looney,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,1525,4,12,0,0,0,0,5,3,1,1,0,0,4,5.7
payneca01,Cameron Payne,PHOENIX SUNS,AWAY,BROOKLYN NETS,LOSS,899,2,6,1,2,0,0,0,1,4,1,1,0,2,5.6
banede01,Desmond Bane,MEMPHIS GRIZZLIES,AWAY,PORTLAND TRAIL BLAZERS,WIN,1079,1,2,0,0,0,0,1,2,4,0,1,0,2,5.0
daviste02,Terence Davis,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,954,2,8,1,6,1,2,0,6,2,1,0,0,0,5.0
portibo01,Bobby Portis,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,LOSS,1343,3,7,2,3,2,2,0,5,0,0,0,2,2,5.0
