Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Russell Westbrook (16991673),Russell Westbrook,16991673,PG/G/UTIL,11000,WAS@GS 04/09/2021 10:00PM ET,WAS,55.10
PG,Stephen Curry (16991684),Stephen Curry,16991684,PG/G/UTIL,9900,WAS@GS 04/09/2021 10:00PM ET,GS,49.33
SF,Kawhi Leonard (16991726),Kawhi Leonard,16991726,SF/F/UTIL,9400,HOU@LAC 04/09/2021 10:00PM ET,LAC,46.15
SG,Bradley Beal (16991749),Bradley Beal,16991749,SG/G/UTIL,9300,WAS@GS 04/09/2021 10:00PM ET,WAS,47.24
C,Christian Wood (16991772),Christian Wood,16991772,C/UTIL,8500,HOU@LAC 04/09/2021 10:00PM ET,HOU,40.12
SG,Paul George (16991718),Paul George,16991718,SG/G/UTIL,8200,HOU@LAC 04/09/2021 10:00PM ET,LAC,42.05
PG,John Wall (16991723),John Wall,16991723,PG/G/UTIL,8100,HOU@LAC 04/09/2021 10:00PM ET,HOU,38.43
SG/SF,Andrew Wiggins (16991777),Andrew Wiggins,16991777,SG/SF/F/G/UTIL,7100,WAS@GS 04/09/2021 10:00PM ET,GS,31.26
PG/SG,Kevin Porter Jr. (16991864),Kevin Porter Jr.,16991864,PG/SG/G/UTIL,7000,HOU@LAC 04/09/2021 10:00PM ET,HOU,30.59
PF,Rui Hachimura (16991846),Rui Hachimura,16991846,PF/F/UTIL,6800,WAS@GS 04/09/2021 10:00PM ET,WAS,25.5
PF/C,Draymond Green (16991710),Draymond Green,16991710,PF/C/F/UTIL,6700,WAS@GS 04/09/2021 10:00PM ET,GS,31.09
PG/SF,Jae'Sean Tate (16991791),Jae'Sean Tate,16991791,PG/SF/F/G/UTIL,6500,HOU@LAC 04/09/2021 10:00PM ET,HOU,23.69
SF/PF,Kelly Oubre Jr. (16991785),Kelly Oubre Jr.,16991785,SF/PF/F/UTIL,6300,WAS@GS 04/09/2021 10:00PM ET,GS,28.76
PF/C,Kelly Olynyk (16991734),Kelly Olynyk,16991734,PF/C/F/UTIL,6000,HOU@LAC 04/09/2021 10:00PM ET,HOU,25.74
C,DeMarcus Cousins (16991721),DeMarcus Cousins,16991721,C/UTIL,5500,HOU@LAC 04/09/2021 10:00PM ET,LAC,25.82
PG/SG,Jordan Poole (16991854),Jordan Poole,16991854,PG/SG/G/UTIL,5100,WAS@GS 04/09/2021 10:00PM ET,GS,16.73
SG,Eric Gordon (16991691),Eric Gordon,16991691,SG/G/UTIL,5100,HOU@LAC 04/09/2021 10:00PM ET,HOU,26.78
SF/PF,Danuel House Jr. (16991759),Danuel House Jr.,16991759,SF/PF/F/UTIL,5100,HOU@LAC 04/09/2021 10:00PM ET,HOU,19.44
