Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57454-23825,C,Nerlens,Nerlens Noel,Noel,22.07843137254902,51,5100,CHA@NY,NY,CHA,,,,,,C
57454-9809,SF,Nicolas,Nicolas Batum,Batum,21.94363680752841,55,5100,LAC@POR,LAC,POR,,,,,,SF
57454-70827,C,Ivica,Ivica Zubac,Zubac,22.196609755693856,59,5100,LAC@POR,LAC,POR,,,,,,C
57454-80811,SF,Jonathan,Jonathan Isaac,Isaac,32.2705867991728,34,5100,ORL@ATL,ORL,ATL,O,Knee,,,,SF
57454-110339,SG,Cam,Cam Reddish,Reddish,21.588461068960335,26,5000,ORL@ATL,ATL,ORL,O,Achilles,,,,SG
57454-9560,PF,Blake,Blake Griffin,Griffin,22.925806845388106,31,5000,BKN@NO,BKN,NO,,,,,,PF
57454-40830,PG,Delon,Delon Wright,Wright,25.602083841959637,48,5000,MIN@SAC,SAC,MIN,,,,,,PG
57454-84675,C,Mo,Mo Bamba,Bamba,15.651515151515152,33,5000,ORL@ATL,ORL,ATL,,,,,,C
57454-66064,SF,Malik,Malik Beasley,Beasley,29.767568227407093,37,4900,MIN@SAC,MIN,SAC,O,Hamstring,,,,SF
57454-110995,C,Naz,Naz Reid,Reid,21.99285670689174,56,4900,MIN@SAC,MIN,SAC,,,,,,C
57454-15691,C,Cody,Cody Zeller,Zeller,22.630555894639755,36,4800,CHA@NY,CHA,NY,,,,,,C
57454-84694,SG,Bruce,Bruce Brown,Brown,19.87924482237618,53,4800,BKN@NO,BKN,NO,,,,,,SG
57454-16405,SG,Terrence,Terrence Ross,Ross,26.056521208389945,46,4700,ORL@ATL,ORL,ATL,O,Back,,,,SG
57454-12355,SG,Eric,Eric Bledsoe,Bledsoe,23.014286586216517,56,4700,BKN@NO,NO,BKN,,,,,,SG
57454-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,22.299999606224798,31,4600,ORL@ATL,ORL,ATL,O,Ankle,,,,PG
57454-9561,C,DeAndre,DeAndre Jordan,Jordan,21.946939273756378,49,4600,BKN@NO,BKN,NO,,,,,,C
57454-16363,SF,Joe,Joe Harris,Harris,23.11929910224781,57,4600,BKN@NO,BKN,NO,,,,,,SF
57454-110338,SF,De'Andre,De'Andre Hunter,Hunter,28.120001220703124,20,4400,ORL@ATL,ATL,ORL,O,Knee,,,,SF
57454-9481,PF,Taj,Taj Gibson,Gibson,17.43548387096774,31,4400,CHA@NY,NY,CHA,,,,,,PF
57454-9648,SF,Jeff,Jeff Green,Green,18.824528532208138,53,4400,BKN@NO,BKN,NO,,,,,,SF
57454-24544,SG,Gary,Gary Harris,Harris,18.15833282470703,24,4400,ORL@ATL,ORL,ATL,,,,,,SG
57454-110315,SG,Terance,Terance Mann,Mann,14.701785496303014,56,4400,LAC@POR,LAC,POR,,,,,,SG
57454-9966,PF,James,James Johnson,Johnson,17.980000305175782,40,4400,BKN@NO,NO,BKN,GTD,Groin,,,,PF
57454-84724,SG,Landry,Landry Shamet,Shamet,14.33478313943614,46,4400,BKN@NO,BKN,NO,,,,,,SG
