Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57228-9642,PG,Russell,Russell Westbrook,Westbrook,50.96595536901596,47,11300,NO@WAS,WAS,NO,,,,,,PG
57228-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,48.59706025965073,34,11100,MIA@MIN,MIN,MIA,,,,,,C
57228-55062,C,Nikola,Nikola Jokic,Jokic,54.941070556640625,56,11000,DEN@HOU,DEN,HOU,,,,,,C
57228-9644,SG,James,James Harden,Harden,52.14186273619186,43,10800,CHA@BKN,BKN,CHA,O,Hamstring,,,,SG
57228-84669,PG,Luka,Luka Doncic,Doncic,50.8039990234375,50,10200,NY@DAL,DAL,NY,,,,,,PG
57228-49111,C,Joel,Joel Embiid,Embiid,52.056756096917226,37,10200,LAC@PHI,PHI,LAC,,,,,,C
57228-14513,SF,Kawhi,Kawhi Leonard,Leonard,45.53260869565217,46,10000,LAC@PHI,LAC,PHI,GTD,Foot,,,,SF
57228-110310,PF,Zion,Zion Williamson,Williamson,42.58431468290441,51,10000,NO@WAS,NO,WAS,,,,,,PF
57228-14498,PG,Kyrie,Kyrie Irving,Irving,46.04750061035156,40,9700,CHA@BKN,BKN,CHA,,,,,,PG
57228-12341,SG,Paul,Paul George,George,40.218605218931685,43,9500,LAC@PHI,LAC,PHI,,,,,,SG
57228-9646,SF,Kevin,Kevin Durant,Durant,46.49545565518466,22,9300,CHA@BKN,BKN,CHA,,,,,,SF
57228-42669,PF,Julius,Julius Randle,Randle,44.20892769949777,56,9200,NY@DAL,NY,DAL,,,,,,PF
57228-14528,SF,Jimmy,Jimmy Butler,Butler,45.77000122070312,40,9200,MIA@MIN,MIA,MIN,,,,,,SF
57228-40783,SG,Zach,Zach LaVine,LaVine,41.329630533854164,54,9100,MEM@CHI,CHI,MEM,O,Covid-19,,,,SG
57228-14514,C,Nikola,Nikola Vucevic,Vucevic,46.149998256138396,56,9000,MEM@CHI,CHI,MEM,,,,,,C
57228-63122,PF,Kristaps,Kristaps Porzingis,Porzingis,38.785714285714285,35,8800,NY@DAL,DAL,NY,,,,,,PF
57228-20848,PG,Damian,Damian Lillard,Lillard,45.235849056603776,53,8600,POR@SA,POR,SA,,,,,,PG
57228-60021,PF,Pascal,Pascal Siakam,Siakam,39.743477199388586,46,8500,ORL@TOR,TOR,ORL,O,Rest,,,,PF
57228-14503,C,Jonas,Jonas Valanciunas,Valanciunas,37.14791615804037,48,8400,MEM@CHI,MEM,CHI,,,,,,C
57228-15595,SG,Bradley,Bradley Beal,Beal,44.96304453974185,46,8400,NO@WAS,WAS,NO,,,,,,SG
57228-66048,SF,Brandon,Brandon Ingram,Ingram,38.84800048828125,50,8300,NO@WAS,NO,WAS,,,,,,SF
57228-12332,PG,John,John Wall,Wall,37.46111043294271,36,8100,DEN@HOU,HOU,DEN,,,,,,PG
