Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56827-23665,SF,Buddy,Buddy Hield,Hield,28.311537522536057,52,6000,SAC@UTA,SAC,UTA,,,,,,SF
56827-145337,SG,Tyrese,Tyrese Haliburton,Haliburton,28.48478367017663,46,6000,SAC@UTA,SAC,UTA,,,,,,SG
56827-145344,PG,Malachi,Malachi Flynn,Flynn,10.300000226056135,27,6000,TOR@CLE,TOR,CLE,,,,,,PG
56827-20491,PF,Robert,Robert Covington,Covington,27.3551025390625,49,5900,DET@POR,POR,DET,,,,,,PF
56827-9874,PF,Kevin,Kevin Love,Love,19.649999618530273,8,5800,TOR@CLE,CLE,TOR,,,,,,PF
56827-20640,PG,Jordan,Jordan Clarkson,Clarkson,26.45098039215686,51,5800,SAC@UTA,UTA,SAC,GTD,Ankle,,,,PG
56827-110349,SF,Rui,Rui Hachimura,Hachimura,24.964285714285715,42,5800,WAS@PHO,WAS,PHO,,,,,,SF
56827-15636,SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,16.4562505086263,48,5800,LAL@BKN,LAL,BKN,,,,,,SF
56827-9688,C,LaMarcus,LaMarcus Aldridge,Aldridge,25.38,25,5800,LAL@BKN,BKN,LAL,,,,,,C
56827-145536,PG,Theo,Theo Maledon,Maledon,19.973912778108016,46,5700,PHI@OKC,OKC,PHI,,,,,,PG
56827-145576,PF,Jae'Sean,Jae'Sean Tate,Tate,23.951923076923077,52,5700,HOU@GS,HOU,GS,,,,,,PF
56827-110337,SG,Talen,Talen Horton-Tucker,Horton-Tucker,17.461702387383642,47,5700,LAL@BKN,LAL,BKN,,,,,,SG
56827-9648,SF,Jeff,Jeff Green,Green,18.983333587646484,48,5700,LAL@BKN,BKN,LAL,,,,,,SF
56827-145538,PF,Aleksej,Aleksej Pokusevski,Pokusevski,19.071874618530273,32,5600,PHI@OKC,OKC,PHI,,,,,,PF
56827-111273,SF,Luguentz,Luguentz Dort,Dort,21.273171029439787,41,5600,PHI@OKC,OKC,PHI,GTD,Concussion,,,,SF
56827-49336,SG,DeAndre',DeAndre' Bembry,Bembry,13.845714460100446,35,5600,TOR@CLE,TOR,CLE,,,,,,SG
56827-84670,SF,Mikal,Mikal Bridges,Bridges,26.760785271139707,51,5600,WAS@PHO,PHO,WAS,,,,,,SF
56827-55057,C,Jusuf,Jusuf Nurkic,Nurkic,25.877777099609375,18,5600,DET@POR,POR,DET,O,Rest,,,,C
56827-84694,SG,Bruce,Bruce Brown,Brown,18.985416412353516,48,5500,LAL@BKN,BKN,LAL,,,,,,SG
56827-84699,SG,Hamidou,Hamidou Diallo,Diallo,24.135897122896633,39,5400,DET@POR,DET,POR,,,,,,SG
56827-145328,SF,Saddiq,Saddiq Bey,Bey,19.005999755859374,50,5400,DET@POR,DET,POR,,,,,,SF
56827-14511,PF,Markieff,Markieff Morris,Morris,15.230434251868207,46,5300,LAL@BKN,LAL,BKN,,,,,,PF
56827-14530,SF,Bojan,Bojan Bogdanovic,Bogdanovic,22.59423123873197,52,5300,SAC@UTA,UTA,SAC,,,,,,SF
56827-16363,SF,Joe,Joe Harris,Harris,22.998077392578125,52,5300,LAL@BKN,BKN,LAL,,,,,,SF
56827-9758,SF,Danny,Danny Green,Green,22.07884568434495,52,5200,PHI@OKC,PHI,OKC,,,,,,SF
56827-59318,SG,Joe,Joe Ingles,Ingles,23.29791768391927,48,5200,SAC@UTA,UTA,SAC,,,,,,SG
56827-80823,PF,Tony,Tony Bradley,Bradley,16.88888888888889,27,5200,PHI@OKC,OKC,PHI,,,,,,PF
56827-117286,C,Moses,Moses Brown,Brown,23.16521686056386,23,5100,PHI@OKC,OKC,PHI,,,,,,C
56827-14529,PG,Cory,Cory Joseph,Joseph,17.064151404038917,53,5100,DET@POR,DET,POR,,,,,,PG
56827-84679,PF,Marvin,Marvin Bagley,Bagley,25.87837837837838,37,5100,SAC@UTA,SAC,UTA,O,Hand,,,,PF
56827-15800,PF,Jae,Jae Crowder,Crowder,21.964584350585938,48,5100,WAS@PHO,PHO,WAS,,,,,,PF
56827-80825,PF,Isaiah,Isaiah Hartenstein,Hartenstein,12.817143031529017,35,5100,TOR@CLE,CLE,TOR,,,,,,PF
56827-110637,PF,Darius,Darius Bazley,Bazley,24.77777777777778,36,5000,PHI@OKC,OKC,PHI,GTD,Shoulder,,,,PF
56827-14516,C,Enes,Enes Kanter,Kanter,30.292157341452207,51,5000,DET@POR,POR,DET,,,,,,C
56827-110883,PF,Dean,Dean Wade,Wade,11.879069483557412,43,4900,TOR@CLE,CLE,TOR,,,,,,PF
56827-9560,PF,Blake,Blake Griffin,Griffin,23.785185637297452,27,4900,LAL@BKN,BKN,LAL,,,,,,PF
56827-145307,PF,Isaiah,Isaiah Stewart,Stewart,18.86199951171875,50,4900,DET@POR,DET,POR,,,,,,PF
56827-145347,C,James,James Wiseman,Wiseman,21.81578947368421,38,4800,HOU@GS,GS,HOU,,,,,,C
56827-145539,SF,Deni,Deni Avdija,Avdija,16.061702647107712,47,4700,WAS@PHO,WAS,PHO,,,,,,SF
56827-110346,PF,Isaiah,Isaiah Roby,Roby,21.06511599518532,43,4700,PHI@OKC,OKC,PHI,GTD,Concussion,,,,PF
56827-9873,C,Robin,Robin Lopez,Lopez,16.88039263556985,51,4600,WAS@PHO,WAS,PHO,,,,,,C
56827-9581,C,Marc,Marc Gasol,Gasol,17.407142275855655,42,4600,LAL@BKN,LAL,BKN,GTD,Hamstring,,,,C
56827-84691,PG,Shake,Shake Milton,Milton,21.91136308149858,44,4500,PHI@OKC,PHI,OKC,,,,,,PG
56827-9508,SF,Carmelo,Carmelo Anthony,Anthony,22.9539990234375,50,4500,DET@POR,POR,DET,,,,,,SF
56827-80809,SG,Josh,Josh Jackson,Jackson,23.43404307263963,47,4500,DET@POR,DET,POR,,,,,,SG
56827-9799,SG,Wesley,Wesley Matthews,Matthews,10.6613637750799,44,4400,LAL@BKN,LAL,BKN,,,,,,SG
56827-9556,SF,Eric,Eric Gordon,Gordon,25.44814724392361,27,4400,HOU@GS,HOU,GS,O,Groin,,,,SF
56827-40830,PG,Delon,Delon Wright,Wright,26.53953374818314,43,4400,SAC@UTA,SAC,UTA,,,,,,PG
56827-18600,PG,Tyler,Tyler Johnson,Johnson,9.783870573966734,31,4300,LAL@BKN,BKN,LAL,O,Knee,,,,PG
56827-14543,PF,Davis,Davis Bertans,Bertans,17.78974327674279,39,4300,WAS@PHO,WAS,PHO,,,,,,PF
56827-23981,PG,Alex,Alex Caruso,Caruso,16.207143147786457,42,4300,LAL@BKN,LAL,BKN,GTD,Knee,,,,PG
56827-9660,C,Dwight,Dwight Howard,Howard,20.244229830228367,52,4300,PHI@OKC,PHI,OKC,,,,,,C
56827-12351,C,Derrick,Derrick Favors,Favors,17.68800048828125,50,4200,SAC@UTA,UTA,SAC,,,,,,C
56827-15583,SG,Seth,Seth Curry,Curry,20.86341522961128,41,4200,PHI@OKC,PHI,OKC,,,,,,SG
56827-110322,PG,Jordan,Jordan Poole,Poole,15.432257867628529,31,4200,HOU@GS,GS,HOU,,,,,,PG
56827-110354,PF,Nicolas,Nicolas Claxton,Claxton,19.530000305175783,20,4200,LAL@BKN,BKN,LAL,,,,,,PF
56827-9703,PG,George,George Hill,Hill,21.021427699497767,14,4200,PHI@OKC,PHI,OKC,O,Thumb,,,,PG
56827-58350,SF,Stanley,Stanley Johnson,Johnson,9.782608695652174,46,4200,TOR@CLE,TOR,CLE,,,,,,SF
56827-145489,PG,Killian,Killian Hayes,Hayes,13.430000305175781,10,4100,DET@POR,DET,POR,,,,,,PG
56827-15542,SG,Spencer,Spencer Dinwiddie,Dinwiddie,17.6999994913737,3,4100,LAL@BKN,BKN,LAL,O,Knee,,,,SG
56827-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,14.752082824707031,48,4100,PHI@OKC,OKC,PHI,,,,,,SG
56827-110316,SF,Cameron,Cameron Johnson,Johnson,17.8022216796875,45,4100,WAS@PHO,PHO,WAS,,,,,,SF
56827-110331,SG,Ty,Ty Jerome,Jerome,20.0105269582648,19,4100,PHI@OKC,OKC,PHI,,,,,,SG
56827-40262,SG,Sterling,Sterling Brown,Brown,18.035999755859375,50,4100,HOU@GS,HOU,GS,,,,,,SG
56827-15814,C,Alex,Alex Len,Len,15.962791265443315,43,4100,WAS@PHO,WAS,PHO,,,,,,C
56827-15904,SG,Rodney,Rodney Hood,Hood,9.759523664202009,42,4000,TOR@CLE,TOR,CLE,GTD,Hip,,,,SG
56827-12363,C,Hassan,Hassan Whiteside,Whiteside,19.64666748046875,30,4000,SAC@UTA,SAC,UTA,,,,,,C
56827-115802,SF,Jaylen,Jaylen Hoard,Hoard,18.3000005086263,3,4000,PHI@OKC,OKC,PHI,,,,,,SF
56827-116340,SG,Terence,Terence Davis,Davis,12.88048720941311,41,4000,SAC@UTA,SAC,UTA,,,,,,SG
56827-84724,SG,Landry,Landry Shamet,Shamet,13.014633550876525,41,4000,LAL@BKN,BKN,LAL,GTD,Ankle,,,,SG
56827-55056,PF,Dario,Dario Saric,Saric,17.300000739820074,33,4000,WAS@PHO,PHO,WAS,,,,,,PF
56827-19781,SF,Kent,Kent Bazemore,Bazemore,14.695999755859376,50,4000,HOU@GS,GS,HOU,,,,,,SF
56827-18338,PF,Royce,Royce O'Neale,O'Neale,21.14423076923077,52,4000,SAC@UTA,UTA,SAC,,,,,,PF
56827-80814,PG,Dennis,Dennis Smith,Smith,18.5,22,4000,DET@POR,DET,POR,,,,,,PG
