Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56658-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,48.08387018019153,31,11400,MIN@IND,MIN,IND,,,,,,C
56658-9644,SG,James,James Harden,Harden,52.14186273619186,43,11200,NO@BKN,BKN,NO,O,Hamstring,,,,SG
56658-9642,PG,Russell,Russell Westbrook,Westbrook,50.11428687686012,42,11000,WAS@ORL,WAS,ORL,,,,,,PG
56658-14498,PG,Kyrie,Kyrie Irving,Irving,46.556756096917226,37,10400,NO@BKN,BKN,NO,,,,,,PG
56658-55059,C,Clint,Clint Capela,Capela,41.053333875868056,45,10400,MEM@ATL,ATL,MEM,,,,,,C
56658-84669,PG,Luka,Luka Doncic,Doncic,51.27111002604167,45,10300,DAL@HOU,DAL,HOU,,,,,,PG
56658-55062,C,Nikola,Nikola Jokic,Jokic,55.135292202818626,51,10200,SA@DEN,DEN,SA,,,,,,C
56658-110310,PF,Zion,Zion Williamson,Williamson,41.80217444378397,46,9700,NO@BKN,NO,BKN,,,,,,PF
56658-42669,PF,Julius,Julius Randle,Randle,44.00392061121323,51,9400,NY@BOS,NY,BOS,,,,,,PF
56658-58460,SG,Devin,Devin Booker,Booker,37.74444444444445,45,9000,UTA@PHO,PHO,UTA,,,,,,SG
56658-59358,PF,Domantas,Domantas Sabonis,Sabonis,43.51250203450521,48,9000,MIN@IND,IND,MIN,GTD,Ankle,,,,PF
56658-80808,PF,Jayson,Jayson Tatum,Tatum,42.62608801800272,46,8800,NY@BOS,BOS,NY,,,,,,PF
56658-9646,SF,Kevin,Kevin Durant,Durant,48.542104620682565,19,8800,NO@BKN,BKN,NO,GTD,Hamstring,,,,SF
56658-23798,SG,Caris,Caris LeVert,LeVert,33.5360009765625,25,8500,MIN@IND,IND,MIN,,,,,,SG
56658-12332,PG,John,John Wall,Wall,36.47187423706055,32,8400,DAL@HOU,HOU,DAL,GTD,Knee,,,,PG
56658-63122,PF,Kristaps,Kristaps Porzingis,Porzingis,38.016129032258064,31,8400,DAL@HOU,DAL,HOU,GTD,Wrist,,,,PF
56658-15595,SG,Bradley,Bradley Beal,Beal,45.63333275204613,42,8300,WAS@ORL,WAS,ORL,GTD,Hip,,,,SG
56658-66113,SG,Donovan,Donovan Mitchell,Mitchell,39.68541717529297,48,8200,UTA@PHO,UTA,PHO,,,,,,SG
56658-84671,PG,Trae,Trae Young,Young,43.072916666666664,48,8200,MEM@ATL,ATL,MEM,,,,,,PG
56658-40203,C,Rudy,Rudy Gobert,Gobert,40.57059015012255,51,8100,UTA@PHO,UTA,PHO,,,,,,C
56658-66048,SF,Brandon,Brandon Ingram,Ingram,38.43912937330163,46,8000,NO@BKN,NO,BKN,GTD,Toe,,,,SF
56658-66108,PG,Jamal,Jamal Murray,Murray,35.840425531914896,47,8000,SA@DEN,DEN,SA,O,Knee,,,,PG
56658-9714,SG,DeMar,DeMar DeRozan,DeRozan,38.59756097560975,41,7900,SA@DEN,SA,DEN,,,,,,SG
56658-80806,PG,Lonzo,Lonzo Ball,Ball,32.092498779296875,40,7800,NO@BKN,NO,BKN,,,,,,PG
56658-66236,PF,John,John Collins,Collins,33.09574468085106,47,7700,MEM@ATL,ATL,MEM,O,Ankle,,,,PF
56658-42202,PF,Christian,Christian Wood,Wood,39.29999909577546,27,7700,DAL@HOU,HOU,DAL,,,,,,PF
56658-67026,SF,Jaylen,Jaylen Brown,Brown,38.5,48,7700,NY@BOS,BOS,NY,,,,,,SF
56658-84708,C,Robert,Robert Williams,Williams,25.96511627906977,43,7600,NY@BOS,BOS,NY,,,,,,C
56658-9623,PG,Chris,Chris Paul,Paul,37.712245396205354,49,7600,UTA@PHO,PHO,UTA,,,,,,PG
56658-41594,PF,Aaron,Aaron Gordon,Gordon,29.89333292643229,30,7500,SA@DEN,DEN,SA,,,,,,PF
56658-67708,PG,Dejounte,Dejounte Murray,Murray,35.02173913043478,46,7500,SA@DEN,SA,DEN,GTD,Foot,,,,PG
56658-42677,PG,Terry,Terry Rozier,Rozier,33.438297352892285,47,7400,CHA@OKC,CHA,OKC,,,,,,PG
56658-145321,SF,Anthony,Anthony Edwards,Edwards,29.105882831648284,51,7400,MIN@IND,MIN,IND,,,,,,SF
56658-84676,C,Wendell,Wendell Carter,Carter,27.02432498416385,37,7300,WAS@ORL,ORL,WAS,,,,,,C
56658-84682,SF,Michael,Michael Porter,Porter,30.967498779296875,40,7200,SA@DEN,DEN,SA,,,,,,SF
56658-55060,SF,Bogdan,Bogdan Bogdanovic,Bogdanovic,22.81923029972957,26,7200,MEM@ATL,ATL,MEM,,,,,,SF
56658-58378,C,Jakob,Jakob Poeltl,Poeltl,25.774998982747395,48,7100,SA@DEN,SA,DEN,,,,,,C
56658-12366,SF,Gordon,Gordon Hayward,Hayward,35.25227217240767,44,7000,CHA@OKC,CHA,OKC,O,Foot,,,,SF
56658-84673,C,Deandre,Deandre Ayton,Ayton,32.83673469387755,49,7000,UTA@PHO,PHO,UTA,,,,,,C
