slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,2142,14,24,10,18,15,16,0,6,4,0,0,5,3,39.8
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,WIN,1539,10,17,2,3,14,15,1,6,2,1,0,1,1,31.2
westbru01,Russell Westbrook,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,WIN,2324,8,15,0,2,9,11,2,12,14,1,0,3,1,29.3
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,HOME,SACRAMENTO KINGS,WIN,1986,11,18,3,8,9,10,0,6,7,1,2,5,2,28.7
foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,NEW ORLEANS PELICANS,LOSS,2329,15,30,5,13,8,15,0,6,6,1,0,4,3,27.0
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,WASHINGTON WIZARDS,LOSS,2313,14,32,4,11,10,12,1,2,6,1,0,3,3,26.7
valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,WIN,2054,12,15,0,1,2,2,3,11,2,0,3,2,3,26.0
woodch01,Christian Wood,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,2068,10,15,3,5,2,3,4,11,3,2,0,3,2,24.5
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,PHILADELPHIA 76ERS,LOSS,1981,10,20,2,7,10,11,2,2,4,1,1,4,0,24.1
randlju01,Julius Randle,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,WIN,2319,13,23,2,6,6,7,2,8,4,2,1,7,3,23.8
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,2237,10,21,1,5,6,8,4,8,8,1,1,4,1,23.6
bogdabo02,Bojan Bogdanović,UTAH JAZZ,HOME,WASHINGTON WIZARDS,LOSS,2136,10,18,6,10,7,8,0,5,1,0,0,2,2,23.4
porteke02,Kevin Porter,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,2404,7,15,3,8,5,6,1,4,14,2,0,4,2,22.8
greendr01,Draymond Green,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,WIN,2203,7,8,2,3,2,2,0,7,7,4,0,2,5,22.2
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,WIN,2193,14,31,2,5,4,7,3,0,5,1,0,0,3,22.1
willizi01,Zion Williamson,NEW ORLEANS PELICANS,HOME,SACRAMENTO KINGS,WIN,2321,13,21,0,0,4,8,1,5,4,0,1,3,2,20.8
crowdja01,Jae Crowder,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,1500,8,12,8,12,2,3,0,2,2,1,0,1,6,20.0
korkmfu01,Furkan Korkmaz,PHILADELPHIA 76ERS,AWAY,DALLAS MAVERICKS,WIN,1102,7,10,4,7,2,3,0,2,1,2,0,1,1,17.3
lavinza01,Zach LaVine,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,LOSS,2181,5,14,2,8,9,11,1,3,9,0,2,4,2,16.9
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,WIN,1556,7,11,0,0,5,5,0,2,6,0,0,1,3,16.7
portemi01,Michael Porter,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,LOSS,2270,11,21,1,7,1,2,4,5,2,0,0,2,1,16.6
bookede01,Devin Booker,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,2049,9,18,2,5,4,4,1,6,7,0,1,6,3,15.9
aytonde01,Deandre Ayton,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,1791,9,13,0,0,0,3,4,4,0,3,1,3,1,15.6
paytoel01,Elfrid Payton,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,WIN,1637,9,12,0,0,2,4,1,2,2,1,0,2,2,15.3
vucevni01,Nikola Vučević,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,LOSS,1988,7,19,3,7,0,1,1,9,1,5,1,0,2,15.1
barneha02,Harrison Barnes,SACRAMENTO KINGS,AWAY,NEW ORLEANS PELICANS,LOSS,2563,5,14,3,6,3,3,2,9,1,3,1,1,2,14.9
gibsota01,Taj Gibson,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,WIN,1019,3,5,0,0,2,2,6,4,0,2,3,0,2,14.4
paulch01,Chris Paul,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,1596,2,8,2,3,3,3,0,4,10,2,0,0,0,14.4
tateja01,Jae'Sean Tate,HOUSTON ROCKETS,AWAY,PHOENIX SUNS,LOSS,1292,4,7,0,2,2,2,3,2,4,3,1,1,2,14.1
noelne01,Nerlens Noel,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,WIN,1808,2,3,0,0,2,2,5,4,2,4,2,1,3,14.0
schrode01,Dennis Schröder,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,LOSS,2201,7,13,1,3,6,6,0,3,6,0,0,5,2,14.0
youngth01,Thaddeus Young,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,LOSS,1183,10,15,0,2,0,0,1,0,1,0,0,1,0,13.9
theisda01,Daniel Theis,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,LOSS,1625,8,12,0,3,2,3,0,4,2,0,0,1,1,13.6
harklma01,Maurice Harkless,SACRAMENTO KINGS,AWAY,NEW ORLEANS PELICANS,LOSS,2069,5,11,0,5,5,7,0,3,5,2,0,0,4,13.3
murrade01,Dejounte Murray,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,WIN,1672,6,16,2,5,3,3,0,5,6,1,0,1,2,13.1
eubandr01,Drew Eubanks,SAN ANTONIO SPURS,AWAY,ORLANDO MAGIC,WIN,1176,5,9,0,0,0,0,5,5,1,1,2,0,2,13.0
