slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
bolbo01,Bol Bol,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,93,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
cancavl01,Vlatko Čančar,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,93,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
holidaa01,Aaron Holiday,INDIANA PACERS,AWAY,MEMPHIS GRIZZLIES,WIN,911,1,3,0,0,0,0,0,0,0,0,0,1,0,-0.7
gillefr01,Freddie Gillespie,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,LOSS,530,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
doumbse01,Sekou Doumbouya,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1002,0,3,0,2,0,0,1,0,0,2,1,1,3,-0.9
nnajize01,Zeke Nnaji,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,483,0,3,0,2,0,0,0,1,1,1,0,0,2,-0.9
pritcpa01,Payton Pritchard,BOSTON CELTICS,AWAY,DENVER NUGGETS,WIN,581,0,1,0,0,0,0,0,2,0,0,0,1,0,-1.1
quickim01,Immanuel Quickley,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,1055,1,8,1,6,0,0,0,5,0,0,0,0,1,-1.1
willipa01,Patrick Williams,CHICAGO BULLS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1580,0,3,0,1,0,0,0,1,0,2,1,2,2,-1.9
millspa01,Paul Millsap,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,709,1,5,0,1,0,0,1,0,0,1,0,1,4,-2.0
diallha01,Hamidou Diallo,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1120,0,5,0,1,1,2,1,1,0,1,0,0,4,-2.5
hardati02,Tim Hardaway,DALLAS MAVERICKS,HOME,SAN ANTONIO SPURS,LOSS,1345,0,5,0,3,2,2,0,0,2,0,0,2,1,-2.5
anthoca01,Carmelo Anthony,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,943,0,4,0,3,0,0,0,3,0,0,0,1,0,-2.9
greenja01,JaMychal Green,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,859,1,6,1,4,0,0,2,1,0,0,0,2,5,-3.1
randlch01,Chasson Randle,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,LOSS,264,0,1,0,0,0,0,0,0,0,0,0,2,1,-3.1
knighna01,Nathan Knight,ATLANTA HAWKS,AWAY,CHARLOTTE HORNETS,WIN,619,0,4,0,0,0,0,1,1,0,1,0,2,1,-3.2
