slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,WIN,1764,14,20,11,16,3,3,0,6,8,0,0,0,3,39.8
irvinky01,Kyrie Irving,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,1993,13,22,1,3,10,10,1,2,9,2,1,3,1,33.7
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,1998,13,29,3,6,10,11,2,11,2,0,2,2,0,29.0
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,WASHINGTON WIZARDS,LOSS,2372,13,28,1,3,6,6,2,3,6,6,1,3,3,27.6
middlkh01,Khris Middleton,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1511,9,15,3,7,6,6,1,7,7,1,0,3,0,25.8
vucevni01,Nikola Vučević,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,2015,11,20,5,8,2,2,1,10,1,1,2,0,3,25.0
woodch01,Christian Wood,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,2200,11,21,2,4,1,1,6,7,2,1,3,1,1,24.1
brogdma01,Malcolm Brogdon,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,2039,7,19,3,7,6,7,7,7,9,0,0,1,1,24.0
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,WIN,2056,10,20,3,10,6,9,0,5,9,2,1,3,4,23.7
westbru01,Russell Westbrook,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,2185,12,22,0,2,1,2,2,13,11,4,0,7,3,22.8
harrito02,Tobias Harris,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,2027,11,17,2,3,2,2,0,5,3,1,2,1,2,22.7
portemi01,Michael Porter,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,1975,10,14,3,6,2,2,0,10,0,0,3,1,2,22.5
lavinza01,Zach LaVine,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,2339,11,22,6,12,2,2,0,5,7,1,2,4,4,22.2
olynyke01,Kelly Olynyk,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,2294,10,16,3,5,2,2,1,9,2,3,1,3,4,21.7
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,HOME,NEW YORK KNICKS,LOSS,2182,9,22,2,6,8,8,0,3,7,1,0,1,1,21.6
greendr01,Draymond Green,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,WIN,1822,5,10,0,2,2,3,1,9,16,3,2,4,1,21.2
walljo01,John Wall,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,2157,12,28,0,7,7,9,0,3,9,1,2,3,2,21.2
roziete01,Terry Rozier,CHARLOTTE HORNETS,HOME,CLEVELAND CAVALIERS,LOSS,2594,9,20,4,10,0,0,1,6,8,4,1,3,1,21.0
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,1923,6,14,1,2,4,5,4,6,11,1,2,2,3,20.7
willizi01,Zion Williamson,NEW ORLEANS PELICANS,HOME,NEW YORK KNICKS,LOSS,2071,10,19,0,2,5,8,3,5,7,1,2,4,2,20.6
zubaciv01,Ivica Zubac,LOS ANGELES CLIPPERS,AWAY,DETROIT PISTONS,WIN,1896,6,10,0,0,6,7,6,7,2,2,1,2,4,19.8
allengr01,Grayson Allen,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,LOSS,2070,7,13,6,11,3,5,0,4,2,2,0,0,2,19.7
cartewe01,Wendell Carter,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,1874,8,16,0,0,3,5,5,7,4,2,1,1,2,19.5
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,HOME,BROOKLYN NETS,WIN,2074,6,11,0,1,5,8,1,3,9,3,1,1,4,19.5
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,2256,6,11,0,0,7,9,2,2,11,1,0,3,3,19.4
ennisja01,James Ennis,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,1830,8,12,5,6,1,1,1,3,3,0,1,0,5,19.2
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1370,6,9,2,4,4,4,1,7,0,2,2,0,3,19.1
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,2167,10,22,2,8,9,9,2,2,3,1,0,5,2,18.9
randlju01,Julius Randle,NEW YORK KNICKS,AWAY,NEW ORLEANS PELICANS,WIN,2535,11,26,5,8,5,5,2,6,5,0,0,4,5,18.9
butleji01,Jimmy Butler,MIAMI HEAT,AWAY,DENVER NUGGETS,LOSS,1654,5,8,0,0,3,3,1,2,9,3,0,1,1,18.6
burksal01,Alec Burks,NEW YORK KNICKS,AWAY,NEW ORLEANS PELICANS,WIN,1324,7,12,4,7,3,3,0,7,1,1,0,0,2,18.4
hernaju01,Juan Hernangómez,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,LOSS,1306,5,6,3,4,5,6,0,2,1,1,1,0,0,18.4
anunoog01,OG Anunoby,TORONTO RAPTORS,HOME,SAN ANTONIO SPURS,WIN,2046,7,14,4,7,4,4,1,3,3,2,0,2,1,18.3
valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,LOSS,1962,7,12,0,0,5,8,8,7,2,0,0,1,5,18.3
princta02,Taurean Prince,CLEVELAND CAVALIERS,AWAY,CHARLOTTE HORNETS,WIN,1725,9,13,6,8,1,1,0,4,3,1,1,6,1,18.1
lambje01,Jeremy Lamb,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,1812,7,10,4,5,0,0,0,2,1,2,3,0,3,18.0
whitede01,Derrick White,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,2048,7,16,6,11,5,7,1,2,5,0,0,1,4,18.0
loveke01,Kevin Love,CLEVELAND CAVALIERS,AWAY,CHARLOTTE HORNETS,WIN,1601,6,12,2,5,3,3,4,7,4,0,0,0,2,17.9
jacksre01,Reggie Jackson,LOS ANGELES CLIPPERS,AWAY,DETROIT PISTONS,WIN,2224,12,24,3,6,2,2,1,5,1,0,0,1,3,17.7
brownmo01,Moses Brown,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,LOSS,1683,8,13,0,0,2,3,7,5,0,2,2,4,3,16.3
jordade01,DeAndre Jordan,BROOKLYN NETS,AWAY,PHILADELPHIA 76ERS,LOSS,1562,6,7,0,0,0,0,2,12,5,0,1,1,4,16.1
grantje01,Jerami Grant,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,LOSS,2138,10,21,1,4,7,7,0,3,2,1,0,3,4,16.0
siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,SAN ANTONIO SPURS,WIN,2245,7,20,0,1,6,7,2,9,6,2,1,2,4,15.8
gordoaa01,Aaron Gordon,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,1593,7,11,1,3,1,2,5,4,3,0,0,1,2,15.7
mccontj01,T.J. McConnell,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,1281,5,5,1,1,1,2,2,4,4,4,0,3,2,15.7
sabondo01,Domantas Sabonis,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,2211,10,18,0,3,2,3,1,9,7,0,0,4,4,15.7
allenja01,Jarrett Allen,CLEVELAND CAVALIERS,AWAY,CHARLOTTE HORNETS,WIN,1827,5,9,0,1,5,6,2,6,2,0,1,0,0,15.6
doziepj01,PJ Dozier,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,1680,6,10,3,5,0,0,0,2,4,3,0,1,1,15.4
bridgmi02,Miles Bridges,CHARLOTTE HORNETS,HOME,CLEVELAND CAVALIERS,LOSS,2236,7,15,4,8,2,2,1,6,1,1,1,2,0,15.2
garlada01,Darius Garland,CLEVELAND CAVALIERS,AWAY,CHARLOTTE HORNETS,WIN,2141,7,13,3,7,0,0,0,4,7,1,1,3,1,15.1
porzikr01,Kristaps Porziņģis,DALLAS MAVERICKS,AWAY,MEMPHIS GRIZZLIES,WIN,1944,7,13,2,5,5,5,1,5,1,0,0,1,4,15.0
millspa02,Patty Mills,SAN ANTONIO SPURS,AWAY,TORONTO RAPTORS,LOSS,1821,8,15,5,11,2,2,0,3,1,0,0,2,1,14.9
edwaran01,Anthony Edwards,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,LOSS,1854,8,21,5,11,3,5,0,0,3,3,0,2,0,14.8
