slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
brownja02,Jaylen Brown,BOSTON CELTICS,AWAY,LOS ANGELES LAKERS,WIN,1926,17,20,3,5,3,3,0,9,3,1,0,6,2,31.8
aytonde01,Deandre Ayton,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,1816,10,11,0,0,6,6,4,7,0,0,1,1,1,26.5
bogdabo01,Bogdan Bogdanović,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,2290,10,20,6,12,2,2,0,6,7,1,0,0,2,24.9
toscaju01,Juan Toscano-Anderson,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,1832,8,9,3,4,1,2,2,5,3,1,1,1,0,22.2
sextoco01,Collin Sexton,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,LOSS,2060,10,19,3,5,7,10,2,2,2,0,0,0,4,21.3
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,2075,12,25,4,13,5,5,0,4,5,0,2,4,3,21.2
holidjr01,Jrue Holiday,MILWAUKEE BUCKS,AWAY,ATLANTA HAWKS,WIN,2028,9,17,2,4,3,4,3,1,7,1,0,2,1,20.2
foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,LOSS,2426,11,21,0,4,5,7,1,2,8,1,0,4,1,19.4
hortota01,Talen Horton-Tucker,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,LOSS,1626,7,15,0,3,5,5,1,5,7,3,0,2,0,19.4
wiggian01,Andrew Wiggins,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,2066,9,16,5,8,0,0,0,6,6,0,0,1,4,18.8
paulch01,Chris Paul,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,1781,6,12,1,4,0,0,1,2,11,3,0,0,1,18.6
capelca01,Clint Capela,ATLANTA HAWKS,HOME,MILWAUKEE BUCKS,LOSS,2213,7,10,0,0,2,4,6,10,0,1,2,1,3,18.4
