slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
tatumja01,Jayson Tatum,BOSTON CELTICS,HOME,GOLDEN STATE WARRIORS,WIN,2390,16,25,5,9,7,8,0,10,3,2,0,2,2,36.8
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,BOSTON CELTICS,LOSS,2229,15,27,11,19,6,8,0,7,3,0,0,5,2,31.7
bealbr01,Bradley Beal,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,2092,13,22,4,6,7,8,1,2,3,2,0,2,2,29.0
drumman01,Andre Drummond,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,1828,10,15,0,0,7,8,2,6,3,2,1,2,4,24.5
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,LOSS,1752,10,18,0,3,8,12,3,8,8,0,0,4,0,23.9
vucevni01,Nikola Vučević,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,1968,10,17,3,5,2,2,1,6,5,2,0,1,2,23.3
allengr01,Grayson Allen,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,2034,9,13,7,10,1,2,0,4,1,2,0,1,1,22.6
inglejo01,Joe Ingles,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,2363,6,14,6,12,2,2,0,3,14,3,0,4,3,21.1
caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,2460,8,18,5,12,4,4,0,5,2,2,1,0,2,20.4
schrode01,Dennis Schröder,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,2365,11,24,1,6,2,2,0,6,8,1,2,2,2,19.6
garlada01,Darius Garland,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,2409,9,21,4,8,0,0,1,1,12,1,0,2,0,19.3
