iter	RMSE
0	0.06284974026
1	0.06221602631
2	0.06163340027
3	0.0611177223
4	0.06068176933
5	0.0602724411
6	0.05990971031
7	0.05960959857
8	0.05931779269
9	0.05903972943
10	0.05879254356
11	0.05857393226
12	0.05838276043
13	0.05819766173
14	0.05805192206
15	0.05789523637
16	0.05776589495
17	0.05763122798
18	0.05751090295
19	0.05741433937
20	0.05730975036
21	0.0572209745
22	0.05714154562
23	0.05707525952
24	0.05700502911
25	0.05693279331
26	0.05686689439
27	0.05679940046
28	0.0567593032
29	0.05670908658
30	0.05664619702
31	0.05659666318
32	0.05655925982
33	0.0565119542
34	0.05646174157
35	0.05642256958
36	0.05638735285
37	0.05634902865
38	0.05631520409
39	0.05628759597
40	0.05624825922
41	0.05621808711
42	0.05618289767
43	0.05615362918
44	0.05612952895
45	0.05607943446
46	0.05605347542
47	0.05602780564
48	0.05599480773
49	0.05595680281
50	0.05593727594
51	0.05590413609
52	0.05588583467
53	0.05584929512
54	0.05582429029
55	0.05579986275
56	0.05578480467
57	0.05577143667
58	0.05574719947
59	0.05573064213
60	0.05570556735
61	0.05567614223
62	0.05565359183
63	0.05564325031
64	0.05562008039
65	0.05557562408
66	0.05555421378
67	0.05553698188
68	0.05552081603
69	0.05550470208
70	0.05547531239
71	0.05543969561
72	0.05542685671
73	0.0554123706
74	0.05539008446
75	0.0553746665
76	0.05535828045
77	0.05533540129
78	0.05531972447
79	0.05529682633
80	0.05525821128
81	0.05524802347
82	0.05523431317
83	0.05522078202
84	0.05519581127
85	0.05517874609
86	0.05515996969
87	0.0551358076
88	0.05511062587
89	0.0550975773
90	0.05507967886
91	0.05506200301
92	0.05505719085
93	0.0550440518
94	0.05502747851
95	0.05500168765
96	0.05497236238
97	0.05496371707
98	0.05494672346
99	0.05493317829
100	0.05491756815
101	0.05490094008
102	0.05488300091
103	0.05487275949
104	0.05486376548
105	0.05483597202
106	0.05482325439
107	0.05479663674
108	0.05477854263
109	0.05476731266
110	0.05475688304
111	0.05472947212
112	0.0547084521
113	0.05470171974
114	0.05468131983
115	0.05467301052
116	0.0546640552
117	0.05464625095
118	0.05462262545
119	0.05460824655
120	0.05458280492
121	0.0545644837
122	0.05454122874
123	0.05452600542
124	0.05451491336
125	0.0544966149
126	0.05447657797
127	0.0544530343
128	0.05444061945
129	0.05442327497
130	0.05440433255
131	0.05439682754
132	0.05438762587
133	0.05437409837
134	0.05435150118
135	0.05434184487
136	0.05432903106
137	0.0543242088
138	0.05431260495
139	0.05429849758
140	0.05429001343
141	0.05427839751
142	0.05426221724
143	0.05423412248
144	0.054224306
145	0.05421787099
146	0.0542069393
147	0.05419033917
148	0.0541825245
149	0.05416581675
150	0.05415416492
151	0.05414552363
152	0.05413241734
153	0.05411382009
154	0.05408999113
155	0.05408263713
156	0.05405928561
157	0.05404739021
158	0.05403733364
159	0.05402435264
160	0.05401043982
161	0.05397304277
162	0.05395129895
163	0.05394153074
164	0.05389805158
165	0.05388505703
166	0.05387373493
167	0.05386123245
168	0.0538386255
169	0.05382595761
170	0.05382113957
171	0.0537990082
172	0.05379648557
173	0.05378042086
174	0.05376385504
175	0.05374666695
176	0.05373067844
177	0.05371980408
178	0.05368346928
179	0.05367340751
180	0.05366073287
181	0.05365234032
182	0.05363945253
183	0.05362369175
184	0.05361135289
185	0.05359959674
186	0.05358627456
187	0.0535701201
188	0.05355947253
189	0.05354073894
190	0.05353491656
191	0.05351490455
192	0.05350052068
193	0.0534887528
194	0.05347371965
195	0.05344953097
196	0.05342791688
197	0.05341555811
198	0.05339783724
199	0.05339042519
200	0.05338080895
201	0.05336413677
202	0.05335369233
203	0.05334332767
204	0.05333082566
205	0.0532976762
206	0.05328757113
207	0.05327492396
208	0.05326291807
209	0.05325520449
210	0.05323302163
211	0.0532243214
212	0.05321364069
213	0.05321119483
214	0.05320358247
215	0.05319248118
216	0.05317923803
217	0.05316373847
218	0.05315456711
219	0.05313506266
220	0.05310374935
221	0.05308976331
222	0.05308074566
223	0.05307117799
224	0.05306318727
225	0.05304967999
226	0.05304521658
227	0.05301940453
228	0.05299852479
229	0.05298442616
230	0.05298007526
231	0.05295912565
232	0.05294537754
233	0.05293240104
234	0.05291467606
235	0.05290847905
236	0.05289871424
237	0.05288479768
238	0.05286953785
239	0.05285725058
240	0.05283574562
241	0.05282923768
242	0.05281456
243	0.05279769067
244	0.05277640222
245	0.05276492648
246	0.05276191941
247	0.05273178288
248	0.0527301177
249	0.05272071746
250	0.05271130821
251	0.05270889918
252	0.05267804256
253	0.05264504085
254	0.05263185775
255	0.05260810675
256	0.05258901632
257	0.05257728213
258	0.05254796113
259	0.0525354893
260	0.05251527764
261	0.05249933114
262	0.05249126932
263	0.05247694834
264	0.05247434344
265	0.05245909468
266	0.05245533688
267	0.05244393608
268	0.05240116377
269	0.05237061801
270	0.05236851718
271	0.05235857801
272	0.0523458571
273	0.05231994335
274	0.05229066192
275	0.05228153617
276	0.05227407853
277	0.05225193314
278	0.05222462621
279	0.05222326784
280	0.0522140216
281	0.05219968565
282	0.05218080364
